,r0_discrim_IES_125,r0_discrim_IES_250,r0_discrim_IES_1000,r1_discrim_IES_125,r1_discrim_IES_250,r1_discrim_IES_1000
r0_discrim_IES_125,1.0,0.6847453822625841,0.5998917631117088,0.7972605795996542,0.7197506292497229,0.5787083443890018
r0_discrim_IES_250,0.6847453822625841,1.0,0.613367093502817,0.7146199070728605,0.7609692938253405,0.6520778048697421
r0_discrim_IES_1000,0.5998917631117088,0.613367093502817,1.0,0.6023772002703507,0.5715999904326782,0.6739447076101568
r1_discrim_IES_125,0.7972605795996542,0.7146199070728605,0.6023772002703507,1.0,0.7195627796723021,0.6699171726617773
r1_discrim_IES_250,0.7197506292497229,0.7609692938253405,0.5715999904326782,0.7195627796723021,1.0,0.5668654582252043
r1_discrim_IES_1000,0.5787083443890018,0.6520778048697421,0.6739447076101568,0.6699171726617773,0.5668654582252043,1.0
