,r0_Discrim_PC_125,r0_Discrim_PC_250,r0_Discrim_PC_1000,r0_VE_PC_125,r0_VE_PC_250,r0_VE_PC_1000,r0_Discrim 125 RT,r0_Discrim 250 RT,r0_Discrim 1000 RT,r0_VE 125 RT,r0_VE 250 RT,r0_VE 1000 RT,r1_Discrim_PC_125,r1_Discrim_PC_250,r1_Discrim_PC_1000,r1_VE_PC_125,r1_VE_PC_250,r1_VE_PC_1000,r1_Discrim 125 RT,r1_Discrim 250 RT,r1_Discrim 1000 RT,r1_VE 125 RT,r1_VE 250 RT,r1_VE 1000 RT
r0_Discrim_PC_125,1.0,0.7680466305926998,0.6963994027636429,0.6142367799890672,0.5896395042669262,0.5511453709606493,-0.6472676951532034,-0.6841029187769488,-0.5200953546394911,-0.026762331215482618,-0.12641754520493373,-0.1423023577176365,0.8419066014423707,0.7713093713833569,0.689136204501323,0.6029054859114884,0.5826180643786489,0.5549726301824937,-0.6325158337855966,-0.6916000097543465,-0.5228495326233886,-0.019189755891843505,-0.12630165818237019,-0.1511823337219366
r0_Discrim_PC_250,0.7680466305926998,1.0,0.7561474020075555,0.6114009387753224,0.6745407297825347,0.6270846349514788,-0.6142192912565245,-0.6718146178602561,-0.5699164380364127,-0.07491350571989888,-0.1730504313704734,-0.1719406225359501,0.7673933572060022,0.7900183882763127,0.750740510751124,0.6129608719004918,0.6220753827740519,0.6295638063933214,-0.6137769940920541,-0.6638262230804927,-0.5737378411161275,-0.06881955657789413,-0.17518997887073545,-0.1821225359810673
r0_Discrim_PC_1000,0.6963994027636429,0.7561474020075555,1.0,0.5751834512901024,0.6076965510766804,0.6878470876458848,-0.5590096506948531,-0.641992884244925,-0.5680951458871497,-0.10097437741839192,-0.18238805331761662,-0.17361618339129545,0.7019669929594096,0.7650375696938526,0.839871820116977,0.5778834332405416,0.6051461077086031,0.6510801982154741,-0.5585235204987217,-0.6420413853260202,-0.563509122429767,-0.1010024855244846,-0.1911300756198593,-0.18326600187760542
r0_VE_PC_125,0.6142367799890672,0.6114009387753224,0.5751834512901024,1.0,0.706066824535946,0.6544601492729685,-0.4517197633496407,-0.4967041845140666,-0.3767879351138854,0.019948545192715817,-0.03340624725492285,-0.013266944540276856,0.6055730121561699,0.617533424954836,0.5722083300565146,0.5557272731137506,0.5414524830502415,0.5219376391105792,-0.4466353515049971,-0.5076485152093049,-0.38318621796671865,0.03484044415131218,-0.0333003302782095,-0.021052966583549288
r0_VE_PC_250,0.5896395042669262,0.6745407297825347,0.6076965510766804,0.706066824535946,1.0,0.712603316699596,-0.4446142729565331,-0.5050565180559436,-0.42499091500496555,0.0026712070651068393,-0.07655863438694646,-0.05580076152693958,0.585161506382088,0.6290837334128511,0.605313164730774,0.5440566132209022,0.5506828100629979,0.5465066935132412,-0.43572336044897364,-0.5145088209597241,-0.4231643813878159,0.0061445946828358,-0.08105517853343823,-0.0659833630460574
r0_VE_PC_1000,0.5511453709606493,0.6270846349514788,0.6878470876458848,0.6544601492729685,0.712603316699596,1.0,-0.43284917217361724,-0.5067446778838832,-0.42801739108245607,-0.05864883526612753,-0.1504255794305641,-0.12292733666537303,0.5533245921267947,0.6278303477632717,0.6483987456580309,0.518026530336715,0.5479181191092342,0.5712050071359119,-0.43263685053398176,-0.5149821379015421,-0.43252033735731193,-0.053306120144342106,-0.15655593331546658,-0.1313088226857143
r0_Discrim 125 RT,-0.6472676951532034,-0.6142192912565245,-0.5590096506948531,-0.4517197633496407,-0.4446142729565331,-0.43284917217361724,1.0,0.7172607323045804,0.5905912418693251,0.27451651094934354,0.3127086931172286,0.30218266697582014,-0.6415577378595314,-0.6209375622826228,-0.550627783126996,-0.45065468357421595,-0.43767330621100287,-0.43339774550402393,0.8233594594253499,0.7359384446179158,0.610194672239847,0.27225250195514805,0.31682553199926605,0.31289003986230457
r0_Discrim 250 RT,-0.6841029187769488,-0.6718146178602561,-0.641992884244925,-0.4967041845140666,-0.5050565180559436,-0.5067446778838832,0.7172607323045804,1.0,0.5851103563859273,0.20151191164370183,0.2854042224057652,0.3182917556452307,-0.6823154961780442,-0.6703516726952797,-0.6343921374929807,-0.4966816475724937,-0.5031914502655147,-0.5058176889929598,0.7097864580880859,0.7848759093096477,0.5934701878511426,0.1900473209511847,0.2932537411563754,0.31458487474470975
r0_Discrim 1000 RT,-0.5200953546394911,-0.5699164380364127,-0.5680951458871497,-0.3767879351138854,-0.42499091500496555,-0.42801739108245607,0.5905912418693251,0.5851103563859273,1.0,0.3028072703772987,0.4007504045754768,0.36236506251420764,-0.5219789923949532,-0.5782731177520396,-0.5544633583560828,-0.37278054468215815,-0.4226846981070855,-0.43007438049977614,0.5948966525970106,0.5877313605660501,0.6647737113362627,0.29890924930605406,0.4053837075558493,0.37128702146248094
r0_VE 125 RT,-0.026762331215482618,-0.07491350571989888,-0.10097437741839192,0.019948545192715817,0.0026712070651068393,-0.05864883526612753,0.27451651094934354,0.20151191164370183,0.3028072703772987,1.0,0.4715602463311226,0.40372605624552366,-0.031159767432519258,-0.07927630733323868,-0.10561465329612504,0.03131154405416992,-0.0028003105399432935,-0.055280119869243353,0.28794026076746976,0.2013661359089242,0.2992825542298058,0.3928712526008812,0.473963292226142,0.40211468524187943
r0_VE 250 RT,-0.12641754520493373,-0.1730504313704734,-0.18238805331761662,-0.03340624725492285,-0.07655863438694646,-0.1504255794305641,0.3127086931172286,0.2854042224057652,0.4007504045754768,0.4715602463311226,1.0,0.4501764057489676,-0.13450638269223394,-0.17235282829585055,-0.1821412630680814,-0.026982574723194687,-0.0713153547715877,-0.14445434326438952,0.3207122143018979,0.2940919228385944,0.3954208459368621,0.46842206575246154,0.4926469116151854,0.4581738668612122
r0_VE 1000 RT,-0.1423023577176365,-0.1719406225359501,-0.17361618339129545,-0.013266944540276856,-0.05580076152693958,-0.12292733666537303,0.30218266697582014,0.3182917556452307,0.36236506251420764,0.40372605624552366,0.4501764057489676,1.0,-0.13617767906087708,-0.17643493370692365,-0.1697219810318374,-0.012004403268628321,-0.056509001661533255,-0.11759113924044551,0.3135636258335591,0.3162714175775172,0.3518384526213284,0.39084088688218926,0.45314946281533713,0.393254815324759
r1_Discrim_PC_125,0.8419066014423707,0.7673933572060022,0.7019669929594096,0.6055730121561699,0.585161506382088,0.5533245921267947,-0.6415577378595314,-0.6823154961780442,-0.5219789923949532,-0.031159767432519258,-0.13450638269223394,-0.13617767906087708,1.0,0.7701886223556308,0.6879329068208887,0.6111082422658456,0.5764218698972181,0.5547966612439683,-0.6422967568884672,-0.6862997871043696,-0.5291106816383562,-0.02730010153045331,-0.1321558532983249,-0.148278902108891
r1_Discrim_PC_250,0.7713093713833569,0.7900183882763127,0.7650375696938526,0.617533424954836,0.6290837334128511,0.6278303477632717,-0.6209375622826228,-0.6703516726952797,-0.5782731177520396,-0.07927630733323868,-0.17235282829585055,-0.17643493370692365,0.7701886223556308,1.0,0.752564570042513,0.6161601534521953,0.6700036856059032,0.6255931630601791,-0.6157118123262192,-0.6848707572927676,-0.576650029021901,-0.07199183760637991,-0.17835182086630966,-0.18632239129850048
r1_Discrim_PC_1000,0.689136204501323,0.750740510751124,0.839871820116977,0.5722083300565146,0.605313164730774,0.6483987456580309,-0.550627783126996,-0.6343921374929807,-0.5544633583560828,-0.10561465329612504,-0.1821412630680814,-0.1697219810318374,0.6879329068208887,0.752564570042513,1.0,0.5722699586881377,0.600524694697231,0.6893172332665142,-0.554689257081002,-0.6391795173894858,-0.5709968931247927,-0.10870054856311656,-0.1877050770407064,-0.18096960996512113
r1_VE_PC_125,0.6029054859114884,0.6129608719004918,0.5778834332405416,0.5557272731137506,0.5440566132209022,0.518026530336715,-0.45065468357421595,-0.4966816475724937,-0.37278054468215815,0.03131154405416992,-0.026982574723194687,-0.012004403268628321,0.6111082422658456,0.6161601534521953,0.5722699586881377,1.0,0.7054456849581778,0.653918458439065,-0.4413761166397995,-0.5036214127706131,-0.3768889913977774,0.030331196362932,-0.03413086486537612,-0.012274796695902807
r1_VE_PC_250,0.5826180643786489,0.6220753827740519,0.6051461077086031,0.5414524830502415,0.5506828100629979,0.5479181191092342,-0.43767330621100287,-0.5031914502655147,-0.4226846981070855,-0.0028003105399432935,-0.0713153547715877,-0.056509001661533255,0.5764218698972181,0.6700036856059032,0.600524694697231,0.7054456849581778,1.0,0.7114881823665296,-0.4329662450756041,-0.5120423078347147,-0.4222944318220999,0.009008405275940313,-0.08663653351491066,-0.06766108570369604
r1_VE_PC_1000,0.5549726301824937,0.6295638063933214,0.6510801982154741,0.5219376391105792,0.5465066935132412,0.5712050071359119,-0.43339774550402393,-0.5058176889929598,-0.43007438049977614,-0.055280119869243353,-0.14445434326438952,-0.11759113924044551,0.5547966612439683,0.6255931630601791,0.6893172332665142,0.653918458439065,0.7114881823665296,1.0,-0.43125561689796676,-0.512638400482086,-0.4306242005442826,-0.052697939983226395,-0.1524965954668301,-0.1288107079187695
r1_Discrim 125 RT,-0.6325158337855966,-0.6137769940920541,-0.5585235204987217,-0.4466353515049971,-0.43572336044897364,-0.43263685053398176,0.8233594594253499,0.7097864580880859,0.5948966525970106,0.28794026076746976,0.3207122143018979,0.3135636258335591,-0.6422967568884672,-0.6157118123262192,-0.554689257081002,-0.4413761166397995,-0.4329662450756041,-0.43125561689796676,1.0,0.7164926034179905,0.6007307529437546,0.2824024070105854,0.3279159968650751,0.3209167614076878
r1_Discrim 250 RT,-0.6916000097543465,-0.6638262230804927,-0.6420413853260202,-0.5076485152093049,-0.5145088209597241,-0.5149821379015421,0.7359384446179158,0.7848759093096477,0.5877313605660501,0.2013661359089242,0.2940919228385944,0.3162714175775172,-0.6862997871043696,-0.6848707572927676,-0.6391795173894858,-0.5036214127706131,-0.5120423078347147,-0.512638400482086,0.7164926034179905,1.0,0.5986418524212346,0.20117870891139158,0.3012998567960496,0.32264265746037146
r1_Discrim 1000 RT,-0.5228495326233886,-0.5737378411161275,-0.563509122429767,-0.38318621796671865,-0.4231643813878159,-0.43252033735731193,0.610194672239847,0.5934701878511426,0.6647737113362627,0.2992825542298058,0.3954208459368621,0.3518384526213284,-0.5291106816383562,-0.576650029021901,-0.5709968931247927,-0.3768889913977774,-0.4222944318220999,-0.4306242005442826,0.6007307529437546,0.5986418524212346,1.0,0.2974690812702482,0.4007961596466641,0.36093308805866414
r1_VE 125 RT,-0.019189755891843505,-0.06881955657789413,-0.1010024855244846,0.03484044415131218,0.0061445946828358,-0.053306120144342106,0.27225250195514805,0.1900473209511847,0.29890924930605406,0.3928712526008812,0.46842206575246154,0.39084088688218926,-0.02730010153045331,-0.07199183760637991,-0.10870054856311656,0.030331196362932,0.009008405275940313,-0.052697939983226395,0.2824024070105854,0.20117870891139158,0.2974690812702482,1.0,0.4719591639307684,0.4072865964310079
r1_VE 250 RT,-0.12630165818237019,-0.17518997887073545,-0.1911300756198593,-0.0333003302782095,-0.08105517853343823,-0.15655593331546658,0.31682553199926605,0.2932537411563754,0.4053837075558493,0.473963292226142,0.4926469116151854,0.45314946281533713,-0.1321558532983249,-0.17835182086630966,-0.1877050770407064,-0.03413086486537612,-0.08663653351491066,-0.1524965954668301,0.3279159968650751,0.3012998567960496,0.4007961596466641,0.4719591639307684,1.0,0.45190874669043507
r1_VE 1000 RT,-0.1511823337219366,-0.1821225359810673,-0.18326600187760542,-0.021052966583549288,-0.0659833630460574,-0.1313088226857143,0.31289003986230457,0.31458487474470975,0.37128702146248094,0.40211468524187943,0.4581738668612122,0.393254815324759,-0.148278902108891,-0.18632239129850048,-0.18096960996512113,-0.012274796695902807,-0.06766108570369604,-0.1288107079187695,0.3209167614076878,0.32264265746037146,0.36093308805866414,0.4072865964310079,0.45190874669043507,1.0
