,r0_discrim_IES_125,r0_discrim_IES_250,r0_discrim_IES_1000,r1_discrim_IES_125,r1_discrim_IES_250,r1_discrim_IES_1000,r0_VE_IES_125,r0_VE_IES_250,r0_VE_IES_1000,r1_VE_IES_125,r1_VE_IES_250,r1_VE_IES_1000
r0_discrim_IES_125,1.0,0.7267101085649803,0.5958678726483481,0.814206259380961,0.7674545629352607,0.6704369794013847,0.42866462391106497,-0.3297476212828931,-0.31543133737672613,-0.3104258406671355,-0.3073215847933991,0.3357733935283661
r0_discrim_IES_250,0.7267101085649803,1.0,0.5212616341585754,0.6922406934804377,0.7779400082328526,0.6020733702592346,0.31592946762745233,-0.2109702751876252,-0.18919267371878692,-0.09986461134465581,-0.1751032251221285,0.34742241490652925
r0_discrim_IES_1000,0.5958678726483481,0.5212616341585754,1.0,0.5741716510288395,0.6112121751375317,0.6685931229195636,0.4599030502738611,-0.44433148860944177,-0.47757756508476445,-0.440465215192933,-0.44044806225706906,0.3875808632775797
r1_discrim_IES_125,0.814206259380961,0.6922406934804377,0.5741716510288395,1.0,0.706766922346926,0.650460408512183,0.448344851554652,-0.3271068941902867,-0.20420808576348165,-0.2092987949295567,-0.2596135508679766,0.34560083593850155
r1_discrim_IES_250,0.7674545629352607,0.7779400082328526,0.6112121751375317,0.706766922346926,1.0,0.6898073496730566,0.34092810382706035,-0.327986554201246,-0.3570880188600007,-0.25594129316206216,-0.20539198950824097,0.36808378145842696
r1_discrim_IES_1000,0.6704369794013847,0.6020733702592346,0.6685931229195636,0.650460408512183,0.6898073496730566,1.0,0.3106436026982896,-0.41297646967726437,-0.34688333986340425,-0.19671572989908812,-0.4336782915299863,0.36293566889335205
r0_VE_IES_125,0.42866462391106497,0.31592946762745233,0.4599030502738611,0.448344851554652,0.34092810382706035,0.3106436026982896,1.0,-0.40710578451645096,-0.4496818555145963,-0.38942631164795616,-0.45081963344120296,0.43177914374849874
r0_VE_IES_250,-0.3297476212828931,-0.2109702751876252,-0.44433148860944177,-0.3271068941902867,-0.327986554201246,-0.41297646967726437,-0.40710578451645096,1.0,0.37574363551161744,0.4440615281671272,0.657268533137435,-0.4547735522395535
r0_VE_IES_1000,-0.31543133737672613,-0.18919267371878692,-0.47757756508476445,-0.20420808576348165,-0.3570880188600007,-0.34688333986340425,-0.4496818555145963,0.37574363551161744,1.0,0.36999222750105726,0.4531890324425927,-0.3811461946858153
r1_VE_IES_125,-0.3104258406671355,-0.09986461134465581,-0.440465215192933,-0.2092987949295567,-0.25594129316206216,-0.19671572989908812,-0.38942631164795616,0.4440615281671272,0.36999222750105726,1.0,0.4562833248767114,-0.3141624346193232
r1_VE_IES_250,-0.3073215847933991,-0.1751032251221285,-0.44044806225706906,-0.2596135508679766,-0.20539198950824097,-0.4336782915299863,-0.45081963344120296,0.657268533137435,0.4531890324425927,0.4562833248767114,1.0,-0.42832246238801774
r1_VE_IES_1000,0.3357733935283661,0.34742241490652925,0.3875808632775797,0.34560083593850155,0.36808378145842696,0.36293566889335205,0.43177914374849874,-0.4547735522395535,-0.3811461946858153,-0.3141624346193232,-0.42832246238801774,1.0
