,r0_Discrim_PC_125,r0_Discrim_PC_250,r0_Discrim_PC_1000,r0_VE_PC_125,r0_VE_PC_250,r0_VE_PC_1000,r0_Discrim 125 RT,r0_Discrim 250 RT,r0_Discrim 1000 RT,r0_VE 125 RT,r0_VE 250 RT,r0_VE 1000 RT,r1_Discrim_PC_125,r1_Discrim_PC_250,r1_Discrim_PC_1000,r1_VE_PC_125,r1_VE_PC_250,r1_VE_PC_1000,r1_Discrim 125 RT,r1_Discrim 250 RT,r1_Discrim 1000 RT,r1_VE 125 RT,r1_VE 250 RT,r1_VE 1000 RT
r0_VE 250 RT,-0.12709012950850826,-0.17884962845209468,-0.17748581241352643,-0.025829672753447382,-0.0792213317490134,-0.14386234188163893,0.3149332604072503,0.28514295646575966,0.3975729465470143,0.4753056984400558,1.0,0.4480376678443275,-0.1459548683701236,-0.16104174731069945,-0.17519284311189143,-0.02418311393469319,-0.0688303660929063,-0.1472245152773557,0.3212931500223156,0.30149484169993784,0.3888237787149663,0.4679254440567366,0.4911007845917507,0.4559524475454546
r0_VE 1000 RT,-0.14278498805960982,-0.17430284548575795,-0.1561880195875243,-0.012692615001419237,-0.059368114553561654,-0.12527473672788242,0.3113543154459972,0.29130982181002,0.3580126133632768,0.4078141004487725,0.4480376678443275,1.0,-0.14468641922666634,-0.16786127778167173,-0.17458438223579784,-0.00836743530028495,-0.05772987596855787,-0.1288231851863023,0.30611671251251327,0.30124105010573843,0.34889997023377217,0.40054937898696985,0.4486497728409855,0.39090942359466996
r1_Discrim_PC_125,0.8451707391182652,0.7641859386600551,0.6939864316602065,0.5991814534999852,0.5791038079169438,0.5513802118383937,-0.6394274195097832,-0.6851542314238399,-0.5338877234949446,-0.037454668990532396,-0.1459548683701236,-0.14468641922666634,1.0,0.7721262643446072,0.6877668719203105,0.6124126986684729,0.5788909449443846,0.5542277944483799,-0.6546923265137038,-0.6935712683874857,-0.5125353788416183,-0.02987615923038263,-0.14781178175374332,-0.1500995151602669
r1_Discrim_PC_250,0.7766568062655397,0.7909758688426343,0.7557516906910898,0.6142865944784504,0.6280532040543025,0.6265786562146759,-0.6120848983488482,-0.659571482238257,-0.5723815791741157,-0.06845160869689322,-0.16104174731069945,-0.16786127778167173,0.7721262643446072,1.0,0.7446748407088256,0.6197517422579528,0.677385161106099,0.6286034516790344,-0.6153371422531426,-0.677162402420826,-0.5691309769701651,-0.05959339365343388,-0.16440573680272827,-0.1644272774294734
r1_Discrim_PC_1000,0.6985294733418406,0.765525556599688,0.8336076980754664,0.5727717020985872,0.6046615561191974,0.6471415625176874,-0.5640665251269646,-0.6355451533209898,-0.5672827082854264,-0.1123002533765138,-0.17519284311189143,-0.17458438223579784,0.6877668719203105,0.7446748407088256,1.0,0.57559433754748,0.6035477941228156,0.6905009155570058,-0.5629904336342235,-0.644648007672053,-0.5628743631353498,-0.103234723451276,-0.17475901100359678,-0.18768349828981545
r1_VE_PC_125,0.6098855083405658,0.6174685378836111,0.5777165935217579,0.5637033775723027,0.5501732301371053,0.51993797215716,-0.45144044781009257,-0.5007610385637163,-0.38273364687212,0.0342522379840174,-0.02418311393469319,-0.00836743530028495,0.6124126986684729,0.6197517422579528,0.57559433754748,1.0,0.7098282499657205,0.6667633506852405,-0.44868747913280854,-0.4995150649920878,-0.3782217151813983,0.03262187929760245,-0.02936663262262408,-0.013831810888717844
r1_VE_PC_250,0.5885493190706245,0.6283977078482458,0.6063962740554263,0.5412786585162583,0.552639821156611,0.5455794321618666,-0.4327203721071996,-0.5050128376937654,-0.4244702058830132,0.010363521311528883,-0.0688303660929063,-0.05772987596855787,0.5788909449443846,0.677385161106099,0.6035477941228156,0.7098282499657205,1.0,0.7115596197032947,-0.43620288690206627,-0.5042191307794966,-0.42045978690526115,0.007304266276783694,-0.07456908918222256,-0.054686097592014954
r1_VE_PC_1000,0.5569365895194237,0.6363105721555953,0.6473015334170229,0.5158277720235956,0.5438498659039992,0.5779639316035607,-0.4397937764245979,-0.5099187686330585,-0.4389871439471015,-0.06229482313172984,-0.1472245152773557,-0.1288231851863023,0.5542277944483799,0.6286034516790344,0.6905009155570058,0.6667633506852405,0.7115596197032947,1.0,-0.43902175336464766,-0.5181877261218281,-0.43134636198607473,-0.05983134838272095,-0.15683624167782992,-0.13301078436186928
r1_Discrim 125 RT,-0.6366740489731343,-0.6267636448826588,-0.5513823407010736,-0.4436774504905886,-0.44897146365734253,-0.43677450800337164,0.8264312199420739,0.7162923461943429,0.6108471872998495,0.28758787973520694,0.3212931500223156,0.30611671251251327,-0.6546923265137038,-0.6153371422531426,-0.5629904336342235,-0.44868747913280854,-0.43620288690206627,-0.43902175336464766,1.0,0.7184666682468245,0.5882312798517687,0.2677388046518416,0.31291963232926695,0.30755442324755344
r1_Discrim 250 RT,-0.6836077120917371,-0.6787986787221721,-0.6478560259464661,-0.4965564473831289,-0.513690901577451,-0.5117936473833554,0.7112308898330605,0.7829779123528496,0.6020138302803217,0.204898832427411,0.30149484169993784,0.30124105010573843,-0.6935712683874857,-0.677162402420826,-0.644648007672053,-0.4995150649920878,-0.5042191307794966,-0.5181877261218281,0.7184666682468245,1.0,0.5872849556748376,0.19385998954462053,0.2999657674849632,0.32197729965258576
r1_Discrim 1000 RT,-0.523479955037052,-0.5904104198382791,-0.5576720108403628,-0.37152909058244615,-0.42719698924607746,-0.4287144361380482,0.5971413806471846,0.5857866083576756,0.6714962299921281,0.3045260502351414,0.3888237787149663,0.34889997023377217,-0.5125353788416183,-0.5691309769701651,-0.5628743631353498,-0.3782217151813983,-0.42045978690526115,-0.43134636198607473,0.5882312798517687,0.5872849556748376,1.0,0.2771390404384486,0.3977263197968924,0.35458249051012325
r1_VE 125 RT,-0.018990152748624155,-0.07581816383730486,-0.09107083572248381,0.033468484697598166,-0.012410401071395533,-0.04896682679232131,0.2700769079802048,0.19553944704303,0.29824679955122746,0.3861528187773481,0.4679254440567366,0.40054937898696985,-0.02987615923038263,-0.05959339365343388,-0.103234723451276,0.03262187929760245,0.007304266276783694,-0.05983134838272095,0.2677388046518416,0.19385998954462053,0.2771390404384486,1.0,0.45997952526192576,0.3764188644118567
r1_VE 250 RT,-0.13431714261724037,-0.19165691627692413,-0.17961642591956964,-0.02888430159246282,-0.08344684393205622,-0.15544175573258293,0.32230838058513006,0.28860024793671224,0.40624933319949114,0.4588685491184739,0.4911007845917507,0.4486497728409855,-0.14781178175374332,-0.16440573680272827,-0.17475901100359678,-0.02936663262262408,-0.07456908918222256,-0.15683624167782992,0.31291963232926695,0.2999657674849632,0.3977263197968924,0.45997952526192576,1.0,0.4530649828484832
r1_VE 1000 RT,-0.15096779157739348,-0.1848406181985198,-0.17889018161633125,-0.014395765212183467,-0.0669767657882531,-0.12322750607740979,0.3153608609365308,0.31773304553186144,0.3710311083887429,0.409528829627541,0.4559524475454546,0.39090942359466996,-0.1500995151602669,-0.1644272774294734,-0.18768349828981545,-0.013831810888717844,-0.054686097592014954,-0.13301078436186928,0.30755442324755344,0.32197729965258576,0.35458249051012325,0.3764188644118567,0.4530649828484832,1.0
