,r0_discrim_IES_125,r0_discrim_IES_250,r0_discrim_IES_1000,r1_discrim_IES_125,r1_discrim_IES_250,r1_discrim_IES_1000,r0_VE_IES_125,r0_VE_IES_250,r0_VE_IES_1000,r1_VE_IES_125,r1_VE_IES_250,r1_VE_IES_1000
r0_discrim_IES_125,1.0,-0.012858667638017749,0.010777630070560056,0.04010748460427651,-0.049161267794788834,0.01775647696941735,0.012848598643718212,-0.00669994094348896,-0.0015477029130670724,0.001153474225605262,0.008671893330714251,0.007457088741921553
r0_discrim_IES_250,-0.012858667638017749,1.0,-0.009905435460318426,0.0021777321913353316,-0.0028648944404172884,0.00216169907373976,-0.014147161894524194,-0.01039421877649004,-0.001185702569591953,0.006818871986072156,-0.0047050939822916435,-0.007380871442112112
r0_discrim_IES_1000,0.010777630070560056,-0.009905435460318426,1.0,0.013145221986191898,-0.003052021433018479,-0.018635537911980943,-0.001952058820970577,0.018922772294595148,0.008600659142183666,-0.004825425881015785,0.006259691865060103,0.0044136293962461345
r1_discrim_IES_125,0.04010748460427651,0.0021777321913353316,0.013145221986191898,1.0,0.003663773320984126,0.007408823040738168,3.945942283247091e-05,0.0088186440029013,0.004516274422080941,-0.015365075240396493,-0.009862297466757663,0.005917741483394972
r1_discrim_IES_250,-0.049161267794788834,-0.0028648944404172884,-0.003052021433018479,0.003663773320984126,1.0,0.016441237696455013,0.005314654347376821,0.0022643407199840803,-0.011199072927094236,0.017965174529259494,-6.405354862918857e-05,-0.015545308413401102
r1_discrim_IES_1000,0.01775647696941735,0.00216169907373976,-0.018635537911980943,0.007408823040738168,0.016441237696455013,1.0,0.003610346344893584,0.018726772607667683,-0.007309944392631157,0.011705137849140743,-0.004172994541138805,-0.004043529149626626
r0_VE_IES_125,0.012848598643718212,-0.014147161894524194,-0.001952058820970577,3.945942283247091e-05,0.005314654347376821,0.003610346344893584,1.0,0.003886746133698832,0.005218798400630875,0.007698098468268121,0.009103947399348894,-0.0007750295027493198
r0_VE_IES_250,-0.00669994094348896,-0.01039421877649004,0.018922772294595148,0.0088186440029013,0.0022643407199840803,0.018726772607667683,0.003886746133698832,1.0,-0.001663137870682055,-0.0013009103953145979,-0.0009347700448873558,0.013919612454532002
r0_VE_IES_1000,-0.0015477029130670724,-0.001185702569591953,0.008600659142183666,0.004516274422080941,-0.011199072927094236,-0.007309944392631157,0.005218798400630875,-0.001663137870682055,1.0,-0.004845571666331584,0.0009463738493696717,-0.007539221067057753
r1_VE_IES_125,0.001153474225605262,0.006818871986072156,-0.004825425881015785,-0.015365075240396493,0.017965174529259494,0.011705137849140743,0.007698098468268121,-0.0013009103953145979,-0.004845571666331584,1.0,-0.001795521570084127,0.002973632437113036
r1_VE_IES_250,0.008671893330714251,-0.0047050939822916435,0.006259691865060103,-0.009862297466757663,-6.405354862918857e-05,-0.004172994541138805,0.009103947399348894,-0.0009347700448873558,0.0009463738493696717,-0.001795521570084127,1.0,0.03140104751686083
r1_VE_IES_1000,0.007457088741921553,-0.007380871442112112,0.0044136293962461345,0.005917741483394972,-0.015545308413401102,-0.004043529149626626,-0.0007750295027493198,0.013919612454532002,-0.007539221067057753,0.002973632437113036,0.03140104751686083,1.0
