,r0_Discrim_PC_125,r0_Discrim_PC_250,r0_Discrim_PC_1000,r0_VE_PC_125,r0_VE_PC_250,r0_VE_PC_1000,r0_Discrim 125 RT,r0_Discrim 250 RT,r0_Discrim 1000 RT,r0_VE 125 RT,r0_VE 250 RT,r0_VE 1000 RT,r1_Discrim_PC_125,r1_Discrim_PC_250,r1_Discrim_PC_1000,r1_VE_PC_125,r1_VE_PC_250,r1_VE_PC_1000,r1_Discrim 125 RT,r1_Discrim 250 RT,r1_Discrim 1000 RT,r1_VE 125 RT,r1_VE 250 RT,r1_VE 1000 RT
r0_VE 250 RT,-0.03419720854522427,-0.02791210301549862,-0.08579085466542237,-0.01842245864756513,-0.002125527424088152,-0.07721109540094337,0.1780469043477721,0.18550581044570005,0.22980764477624852,0.24378093891129346,1.0,0.21428335154086509,-0.006135302211217525,-0.046932100357361985,-0.07284495749983104,0.002770163282506512,-0.028322587474323223,-0.07224185697026414,0.16104721308806283,0.18804578583325127,0.2388659977370875,0.2355115117551554,0.14620519424974307,0.21694430262322126
r0_VE 1000 RT,-0.04357279124138433,-0.014668903813957579,-0.01745374621204951,-0.013608716501190976,0.0159846827685638,-0.014667156973683102,0.18569910625880756,0.16526634826126432,0.2037869801818085,0.20282708236007493,0.21428335154086509,1.0,-0.013275083716940058,0.015265197968023614,-0.042521817527959554,0.014612959914950329,0.044487811675441274,-0.035812560096572826,0.190808693402611,0.16424896425883598,0.18937280954772537,0.19851803621013484,0.24002831988889345,0.0480595253022487
r1_Discrim_PC_125,-0.031974238677648516,0.20973832754353106,0.21899803571635335,-0.023255946175045866,0.1870995686943685,0.21181548174437212,-0.27307895083068884,-0.2599924011821544,-0.15894500288013336,-0.013036944638428865,-0.006135302211217525,-0.013275083716940058,1.0,0.23111392565763508,0.2285233043794384,0.8349294489768394,0.2087850100208434,0.21239133850625347,-0.2780084361827509,-0.2539355704486095,-0.15329287637855887,-0.0012093784518133533,-0.041928248964161606,-0.0028030493186254725
r1_Discrim_PC_250,0.20765282482241174,0.14295443661334162,0.275707944220601,0.19930922584946337,0.13624487197474505,0.25575341638325044,-0.2683859395202598,-0.2997471170385817,-0.2147474237023333,-0.05774243747175947,-0.046932100357361985,0.015265197968023614,0.23111392565763508,1.0,0.26476669716681006,0.21947995262799253,0.8701459992239363,0.2527923671830326,-0.2756223571737021,-0.29518191993265935,-0.21801228500155548,-0.044944530339511186,-0.03907498463295529,-0.012909450200190216
r1_Discrim_PC_1000,0.2322644849398128,0.2782050883227741,0.07714627648350177,0.2181053271717683,0.2476629422739186,0.09233163636537216,-0.2936469211131793,-0.3409050057955219,-0.2317884645349228,-0.03212088936208422,-0.07284495749983104,-0.042521817527959554,0.2285233043794384,0.26476669716681006,1.0,0.21226685085277275,0.24317509226165082,0.8724243716841334,-0.3046543766263421,-0.31693917678548833,-0.24389590754188967,-0.04872283783081232,-0.051634547803062106,-0.01589897088442541
r1_VE_PC_125,-0.020390813445080237,0.19796694825100303,0.21049979501555846,-0.03342831122223508,0.1833818217176713,0.2110582079216128,-0.21577405031293595,-0.20959129207765415,-0.13800594408811248,-0.012864952224690434,0.002770163282506512,0.014612959914950329,0.8349294489768394,0.21947995262799253,0.21226685085277275,1.0,0.2174106591296575,0.21878931160197496,-0.21335318917539436,-0.20845366850977626,-0.1321079078097015,-0.0015086551864903852,-0.02878226296585031,0.014939753081386975
r1_VE_PC_250,0.1875966858029665,0.14068978140955773,0.25676196374753835,0.18794401973999456,0.12945822509927585,0.24211841457580704,-0.22362016438250726,-0.2543921389602787,-0.16462642873562744,-0.05116877166385331,-0.028322587474323223,0.044487811675441274,0.2087850100208434,0.8701459992239363,0.24317509226165082,0.2174106591296575,1.0,0.24880551633333836,-0.2251047925417199,-0.24409522231709915,-0.1708168283400432,-0.029454425671990584,-0.012541285186810218,0.017394457055459642
r1_VE_PC_1000,0.22379679414089634,0.26078320027631113,0.09703317564450124,0.21869242439192493,0.23820217503083252,0.1025263287699846,-0.263564592793324,-0.30065902230283514,-0.20403975791865941,-0.0381048537443754,-0.07224185697026414,-0.035812560096572826,0.21239133850625347,0.2527923671830326,0.8724243716841334,0.21878931160197496,0.24880551633333836,1.0,-0.2711120680695128,-0.2734910113255066,-0.20801507040888667,-0.04609024869074283,-0.05113983506007371,-0.01803788930829308
r1_Discrim 125 RT,-0.29432564320254667,-0.2770612621709221,-0.3106984984249123,-0.21962834425515068,-0.22326539710244397,-0.2680322798060256,0.5681816408207822,0.5142596213587598,0.383729923629394,0.1645841778511265,0.16104721308806283,0.190808693402611,-0.2780084361827509,-0.2756223571737021,-0.3046543766263421,-0.21335318917539436,-0.2251047925417199,-0.2711120680695128,1.0,0.5131946445468403,0.38025212149847554,0.16897779227669635,0.17639356443126078,0.18438051436922842
r1_Discrim 250 RT,-0.29813229396679897,-0.31145748581771143,-0.34937507840978455,-0.23784435351041616,-0.25737855106639485,-0.2965095130505715,0.5144994769936435,0.4915458217235178,0.39595743410884177,0.1396089522949439,0.18804578583325127,0.16424896425883598,-0.2539355704486095,-0.29518191993265935,-0.31693917678548833,-0.20845366850977626,-0.24409522231709915,-0.2734910113255066,0.5131946445468403,1.0,0.3949589878875813,0.13082731283447882,0.19899397994371246,0.15994757563667086
r1_Discrim 1000 RT,-0.1610353739095519,-0.22933229895918406,-0.23789431421478358,-0.13106091226489675,-0.17708128783233953,-0.2012331562077744,0.3725319351598702,0.3918702498031379,0.32867414125508276,0.2128241075896061,0.2388659977370875,0.18937280954772537,-0.15329287637855887,-0.21801228500155548,-0.24389590754188967,-0.1321079078097015,-0.1708168283400432,-0.20801507040888667,0.38025212149847554,0.3949589878875813,1.0,0.20629141109401566,0.25330970858588997,0.20480390522661374
r1_VE 125 RT,-0.02070244192336549,-0.04797665422605474,-0.049600473186071053,-0.008631469562697051,-0.0289994242513881,-0.043868255647627176,0.16269132317926807,0.14154931305283572,0.19585149846153094,0.06091070400936954,0.2355115117551554,0.19851803621013484,-0.0012093784518133533,-0.044944530339511186,-0.04872283783081232,-0.0015086551864903852,-0.029454425671990584,-0.04609024869074283,0.16897779227669635,0.13082731283447882,0.20629141109401566,1.0,0.23662808385288214,0.20904733217788446
r1_VE 250 RT,-0.025335529391262178,-0.04640620393553016,-0.07307967682307985,-0.007051877024917314,-0.017821882727228268,-0.0660725336366915,0.17875710843855624,0.19461545820356915,0.24516482371912227,0.24628347266807057,0.14620519424974307,0.24002831988889345,-0.041928248964161606,-0.03907498463295529,-0.051634547803062106,-0.02878226296585031,-0.012541285186810218,-0.05113983506007371,0.17639356443126078,0.19899397994371246,0.25330970858588997,0.23662808385288214,1.0,0.21460759464199625
r1_VE 1000 RT,-0.02755588723584316,0.0023151180023531664,-0.026518068881130414,-0.006727600587615251,0.036729136524955054,-0.013650641168904187,0.1786978508781036,0.15328536717046132,0.18823072055950488,0.20229199059214045,0.21694430262322126,0.0480595253022487,-0.0028030493186254725,-0.012909450200190216,-0.01589897088442541,0.014939753081386975,0.017394457055459642,-0.01803788930829308,0.18438051436922842,0.15994757563667086,0.20480390522661374,0.20904733217788446,0.21460759464199625,1.0
