,r0_discrim_IES_125,r0_discrim_IES_250,r0_discrim_IES_1000,r1_discrim_IES_125,r1_discrim_IES_250,r1_discrim_IES_1000,r0_VE_IES_125,r0_VE_IES_250,r0_VE_IES_1000,r1_VE_IES_125,r1_VE_IES_250,r1_VE_IES_1000
r0_discrim_IES_125,1.0,0.7023821714649826,0.6153407135390989,0.7857895664332888,0.713931313966789,0.6210733002879687,0.2655749525135971,0.2957871822934456,0.3370822630507635,0.24003402340241675,0.28690625164105965,0.3198888823948023
r0_discrim_IES_250,0.7023821714649826,1.0,0.5924606137531745,0.6990232651101099,0.7579841176789759,0.593649159596294,0.17487482851601707,0.22954294447716006,0.3192311223313126,0.15344806508825903,0.24143073515046345,0.31072357602828493
r0_discrim_IES_1000,0.6153407135390989,0.5924606137531745,1.0,0.6175939294704372,0.6085499668820625,0.711630864047812,0.3070477509728451,0.3865827948611757,0.39193148620824886,0.2778429230552129,0.38580703721190135,0.3953018304922529
r1_discrim_IES_125,0.7857895664332888,0.6990232651101099,0.6175939294704372,1.0,0.7229142412942955,0.632291620807326,0.2488091794346397,0.286816966324098,0.3170419934220847,0.23528262288427426,0.2876725437754899,0.31257504421249915
r1_discrim_IES_250,0.713931313966789,0.7579841176789759,0.6085499668820625,0.7229142412942955,1.0,0.6007735619991856,0.17819467268146227,0.2623901003984141,0.3140243558739235,0.15446072228933339,0.24380267479006015,0.301144977220819
r1_discrim_IES_1000,0.6210733002879687,0.593649159596294,0.711630864047812,0.632291620807326,0.6007735619991856,1.0,0.2988897525096319,0.38897410293304446,0.3935819040654159,0.2835036461492365,0.38938952981169517,0.4046792460528478
r0_VE_IES_125,0.2655749525135971,0.17487482851601707,0.3070477509728451,0.2488091794346397,0.17819467268146227,0.2988897525096319,1.0,0.4796400654441407,0.40984861132760314,0.4068028803499154,0.46803359911470266,0.404787322629417
r0_VE_IES_250,0.2957871822934456,0.22954294447716006,0.3865827948611757,0.286816966324098,0.2623901003984141,0.38897410293304446,0.4796400654441407,1.0,0.439382443554009,0.45947234031853607,0.482634796599307,0.430341680011075
r0_VE_IES_1000,0.3370822630507635,0.3192311223313126,0.39193148620824886,0.3170419934220847,0.3140243558739235,0.3935819040654159,0.40984861132760314,0.439382443554009,1.0,0.3948041502200306,0.43574579749118464,0.3906489798057811
r1_VE_IES_125,0.24003402340241675,0.15344806508825903,0.2778429230552129,0.23528262288427426,0.15446072228933339,0.2835036461492365,0.4068028803499154,0.45947234031853607,0.3948041502200306,1.0,0.4793878862275138,0.4009660796013945
r1_VE_IES_250,0.28690625164105965,0.24143073515046345,0.38580703721190135,0.2876725437754899,0.24380267479006015,0.38938952981169517,0.46803359911470266,0.482634796599307,0.43574579749118464,0.4793878862275138,1.0,0.4320139273974543
r1_VE_IES_1000,0.3198888823948023,0.31072357602828493,0.3953018304922529,0.31257504421249915,0.301144977220819,0.4046792460528478,0.404787322629417,0.430341680011075,0.3906489798057811,0.4009660796013945,0.4320139273974543,1.0
