duration,subjID,stimulus,neg_s_residual,abs_s_residual,abs_error,error,groundPlane,actual_depth
1000,928935,001029_2014-06-08_13-17-57_260595134347_rgbf000065-resize,-1.010798029,1.010798029,4.079930576,-4.079930576,18.20973466,3.0835
1000,928935,000677_2014-06-08_23-10-32_260595134347_rgbf000158-resize,-0.106666642,0.106666642,3.391235889,-3.391235889,19.65196273,3.556
1000,928935,001417_2014-06-19_16-25-36_260595134347_rgbf000115-resize,-1.269124724,1.269124724,5.041333233,-5.041333233,49.1709127,4.6255
1000,928935,003081_2014-06-15_15-19-16_094959634447_rgbf000150-resize,-0.300620221,0.300620221,3.747735889,-3.747735889,16.63299165,3.9125
1000,928935,000682_2014-06-08_23-14-58_260595134347_rgbf000041-resize,-0.234614958,0.234614958,3.139833233,-3.139833233,8.707843072,2.724
1000,928935,001650_2014-06-20_12-09-00_260595134347_rgbf000087-resize,-0.974987502,0.974987502,3.52752792,-3.52752792,47.68045959,1.9505
1000,928935,003495_2014-05-21_16-01-51_094959634447_rgbf000100-resize,-0.798171476,0.798171476,3.20252792,-3.20252792,12.74727881,1.6255
1000,928935,000556_2014-06-09_22-42-56_260595134347_rgbf000214-resize,-1.386639376,1.386639376,5.257333233,-5.257333233,23.88242026,4.8415
1000,928935,002375_2014-06-28_20-13-44_260595134347_rgbf000032-resize,-0.357745399,0.357745399,3.852735889,-3.852735889,48.7610365,4.0175
1000,928935,002568_2014-06-24_13-59-21_094959634447_rgbf000062-resize,-0.973530651,0.973530651,4.011430576,-4.011430576,29.63840999,3.015
1000,928935,000788_2014-06-08_22-34-36_260595134347_rgbf000131-resize,-0.580086271,0.580086271,3.774833233,-3.774833233,21.46386214,3.359
1000,928935,001235_2014-06-17_16-37-36_260595134347_rgbf000084-resize,-0.163519795,0.163519795,3.495735889,-3.495735889,14.54770666,3.6605
1000,928935,000470_2014-06-09_19-42-40_260595134347_rgbf000094-resize,-0.90997361,0.90997361,3.40802792,-3.40802792,22.48637943,1.831
1000,928935,000109_2014-05-14_23-41-52_260595134347_rgbf000035-resize,-0.650734112,0.650734112,2.93152792,-2.93152792,6.620498201,1.3545
1000,928935,002509_2014-06-24_13-19-22_094959634447_rgbf000077-resize,-0.044022402,0.044022402,2.302930576,-2.302930576,40.21868783,1.3065
1000,928935,003338_2014-05-20_11-01-23_094959634447_rgbf000051-resize,-0.834894805,0.834894805,3.27002792,-3.27002792,28.25149566,1.693
1000,928935,000469_2014-06-09_19-42-10_260595134347_rgbf000081-resize,-0.812588783,0.812588783,3.22902792,-3.22902792,25.13136208,1.652
1000,928935,000483_2014-06-09_20-41-45_260595134347_rgbf000116-resize,-1.221810593,1.221810593,3.494625264,-3.494625264,29.23241499,1.337
1000,928935,002964_2014-06-08_17-46-11_094959634447_rgbf000091-resize,-0.253209362,0.253209362,2.687430576,-2.687430576,28.95381292,1.691
1000,928935,002039_2014-06-24_20-22-38_260595134347_rgbf000084-resize,-0.570196655,0.570196655,4.243235889,-4.243235889,15.52430364,4.408
1000,928935,002103_2014-06-25_20-00-40_260595134347_rgbf000049-resize,-0.405349714,0.405349714,3.940235889,-3.940235889,11.59801887,4.105
1000,928935,000691_2014-06-08_13-08-50_260595134347_rgbf000132-resize,-0.431464081,0.431464081,3.988235889,-3.988235889,14.74084621,4.153
1000,928935,001584_2014-06-20_11-07-43_260595134347_rgbf000002-resize,-0.673118703,0.673118703,3.945833233,-3.945833233,17.60283414,3.53
1000,928935,002279_2014-06-28_18-55-32_260595134347_rgbf000040-resize,-0.732250834,0.732250834,3.081361253,-3.081361253,15.96377228,1.504333333
1000,928935,003048_2014-06-15_13-49-43_094959634447_rgbf000150-resize,-0.350128709,0.350128709,3.838735889,-3.838735889,24.35560653,4.0035
1000,928935,002344_2014-06-28_20-06-29_260595134347_rgbf000030-resize,-0.773145208,0.773145208,3.15652792,-3.15652792,37.33165518,1.5795
1000,928935,000549_2014-06-08_22-10-24_260595134347_rgbf000247-resize,-0.915414103,0.915414103,3.41802792,-3.41802792,30.99307978,1.841
1000,928935,000736_2014-06-08_18-24-15_260595134347_rgbf000206-resize,-0.664957964,0.664957964,3.930833233,-3.930833233,33.40817061,3.515
1000,928935,000137_2014-05-20_17-04-49_260595134347_rgbf000120-resize,-0.231797983,0.231797983,3.621235889,-3.621235889,14.89611111,3.786
1000,928935,000917_2014-06-09_22-45-29_260595134347_rgbf000149-resize,-0.449689733,0.449689733,4.021735889,-4.021735889,9.740561609,4.1865
1000,928935,002953_2014-06-08_17-32-18_094959634447_rgbf000059-resize,-0.757639802,0.757639802,3.12802792,-3.12802792,13.90502793,1.551
1000,928935,001214_2014-06-17_16-13-55_260595134347_rgbf000111-resize,-0.775224677,0.775224677,3.646930576,-3.646930576,18.47928258,2.6505
1000,928935,002272_2014-06-28_18-53-56_260595134347_rgbf000067-resize,-0.532947436,0.532947436,2.71502792,-2.71502792,10.40924581,1.138
1000,928935,001571_2014-06-20_17-21-32_260595134347_rgbf000089-resize,-0.92575104,0.92575104,3.43702792,-3.43702792,4.99196035,1.86
1000,928935,000854_2014-06-09_19-43-13_260595134347_rgbf000066-resize,-1.002365265,1.002365265,4.064430576,-4.064430576,11.91082763,3.068
1000,928935,002153_2014-06-25_21-27-18_260595134347_rgbf000038-resize,-1.276662846,1.276662846,4.08202792,-4.08202792,17.28886318,2.505
1000,928935,002660_2014-06-13_15-44-18_094959634447_rgbf001878-resize,-0.117547628,0.117547628,3.411235889,-3.411235889,15.11997681,3.576
