pos_s_residual,abs_s_residual,abs_error,error,groundPlane,actual_depth
0.643159846,0.88772398,2.83018384,-2.83018384,34.79652683,3.8715
0.061624953,0.708153492,3.538294513,-3.368014295,14.89611111,3.786
0.673706809,0.9007913,2.76283314,-2.76283314,12.34075727,3.7995
0.145421307,0.681457592,3.561779465,-3.561779465,13.24134837,4.329
0.354852292,0.728309952,3.220212838,-3.220212838,20.69156546,4.0705
0.319028804,0.4636159,2.235499342,-2.235499342,10.79697623,2.074
0.794046803,1.002148538,2.594024274,-2.571697067,54.8004659,3.661
0.33803642,0.630522134,2.081541847,-2.077966546,14.4293511,1.803
0.098376096,0.578754685,3.23434139,-3.20245007,8.164356964,3.534
0.275924531,0.637304869,2.946693692,-2.946693692,11.91317738,3.381
0.314576682,0.587990756,2.908808284,-2.908808284,14.16539078,3.3825
0.210242878,0.419091155,2.052343846,-2.043976991,3.095889012,1.4865
0.329842512,0.614566665,2.240111633,-2.23388657,5.576511522,2.092
0.645389076,0.784117392,2.305290416,-2.305290416,16.12201726,2.849
0.288996538,0.581446412,2.574529658,-2.574529658,11.71523965,2.6785
0.287595305,0.545193766,2.47088689,-2.47088689,11.62407561,2.473
0.304904861,0.484050573,2.036212722,-2.036212722,7.049977084,1.6565
0.004592073,0.496333862,3.065955149,-3.065955149,18.20973466,3.0835
0.278837154,0.724913898,3.416832187,-3.313607518,25.87613691,4.1045
0.882457666,0.997789587,1.87489877,-1.853533355,8.40629861,2.429
0.093415041,0.462302594,2.774193603,-2.761932546,11.38594592,2.6625
0.028965312,0.467472714,2.701658497,-2.701658497,8.755513319,2.4185
0.331364575,0.732739915,3.326764546,-3.326764546,19.74344947,4.233
0.033496204,0.421955027,2.335735345,-2.335735345,9.336195527,1.7115
0.336070331,0.539526784,2.111935555,-2.111880324,18.66779988,1.8655
0.14481177,0.770375502,3.731577645,-3.665899514,26.95445197,4.5315
0.192866898,0.495816756,2.506848072,-2.504786896,17.32566881,2.354
0.61005649,0.968887958,3.059318217,-3.059318217,15.3490391,4.255
0.141628824,0.632665785,3.109870109,-3.109870109,28.28224985,3.4375
0.037425443,0.506734789,2.501001068,-2.501001068,6.762963881,2.0425
0.244266666,0.744366333,3.363768478,-3.363768478,18.95235575,4.135
0.099480419,0.625391738,3.445000122,-3.445000122,12.34882649,4.010666667
0.120564369,0.469726431,2.26807286,-2.26553556,3.862265909,1.7445
0.2517238,0.674773065,3.526017469,-3.526017469,22.17951068,4.467
0.195909616,0.594621597,3.236285447,-3.236285447,19.97416996,3.791
0.254635424,0.687789297,3.411672305,-3.411672305,20.03065155,4.249
0.476069932,0.727489981,2.749359687,-2.749359687,18.62632266,3.3865
0.150617598,0.512408661,2.830727474,-2.797250498,8.475049544,2.8435
0.532693378,0.73721264,2.478303352,-2.478303352,10.99003685,2.967
0.58980683,0.831970551,2.754979356,-2.754979356,11.38729689,3.62
0.174535522,0.605497031,3.22698976,-3.22698976,18.09172628,3.731
0.851272825,0.955022665,2.044155595,-1.907464951,7.917686206,2.4735
0.161332458,0.588228686,3.324534723,-3.324534723,8.404958011,3.896
0.04930849,0.647677239,3.773353848,-3.688562063,17.10276028,4.389
0.285334954,0.489827921,2.21710045,-2.190729668,12.08382405,1.9205
0.034807209,0.553834592,2.351651254,-2.214045447,4.173644136,1.476
0.044243447,0.531138944,2.991289108,-2.991289108,29.63840999,3.015
0.865912351,1.032403423,2.335797374,-2.166808807,10.6614012,3.0095
0.120565546,0.40151541,2.393836303,-2.393836303,10.9720278,1.9955
0.988598236,1.068263803,1.697710496,-1.621646681,32.96558503,2.183
0.235261196,0.489444982,2.381117676,-2.381117676,3.938570017,2.195
0.479563685,0.866759561,3.40219926,-3.40219926,35.71435076,4.6705
0.304009714,0.522236555,2.400369838,-2.39364408,8.789636111,2.354
0.097491363,0.501576287,2.257555413,-2.257555413,5.591978359,1.68375
0.60896972,0.724762451,1.738384439,-1.727036233,21.7158464,1.6465
0.400477352,0.612870141,2.764769817,-2.700995233,7.377848173,3.144
0.188575853,0.615485325,2.311513432,-2.311513432,11.62568094,1.9675
0.230185043,0.695503113,3.700905134,-3.700905134,14.46030657,4.767
0.252351016,0.773549142,3.400199115,-3.387631817,27.90678342,4.1975
0.139129,0.65395865,3.316068399,-3.316068399,27.2315944,3.836
0.662957579,0.832257235,2.425480348,-2.425480348,6.696951334,3.1185
0.151639143,0.607227979,3.389178064,-3.389178064,24.35560653,4.0035
0.080463899,0.456516219,2.917498173,-2.917498173,10.66482374,2.9415
0.695330795,0.850962685,2.278109477,-2.269916844,9.03213421,2.8775
0.074149475,0.588376548,3.420151896,-3.420151896,16.63299165,3.9125
0.240801733,0.641369194,3.370044808,-3.370044808,19.17283446,4.1405
0.480455133,0.950897221,2.79812858,-2.679034456,35.43119222,3.2575
0.076409292,0.560390647,3.283918393,-3.280900388,19.99945736,3.6445
0.151764406,0.697204984,3.37882954,-3.37882954,23.0717647,3.9835
