residuals,abs_residuals,duration,groundPlane,stimulus,actual_depth
0.27592453067559275,0.27592453067559275,125,11.91317737826679,000758_2014-06-08_22-05-08_260595134347_rgbf000085-resize,3.380999999999986
0.3313645754855433,0.3313645754855433,125,19.743449467077777,001066_2014-06-08_22-03-20_260595134347_rgbf000066-resize,4.232999999999992
0.044243446854064616,0.044243446854064616,125,29.63840999388049,002568_2014-06-24_13-59-21_094959634447_rgbf000062-resize,3.014999999999991
0.12056554596366659,0.12056554596366659,125,10.972027795242447,002637_2014-06-24_14-51-13_094959634447_rgbf000066-resize,1.9954999999999972
0.14481177008102109,0.14481177008102109,125,26.954451973303737,001158_2014-06-17_15-32-16_260595134347_rgbf000138-resize,4.531500000000009
0.28533495389455626,0.28533495389455626,125,12.083824048628237,002545_2014-06-24_13-38-53_094959634447_rgbf000080-resize,1.9205000000000025
0.6737068091034648,0.6737068091034648,125,12.340757267219296,000191_2014-05-12_17-07-38_260595134347_rgbf000199-resize,3.799500000000004
0.0493084904684683,0.0493084904684683,125,17.102760279009576,002444_2014-06-28_20-32-08_260595134347_rgbf000027-resize,4.389000000000007
0.35485229167270804,0.35485229167270804,125,20.69156545677159,000436_2014-06-09_22-25-11_260595134347_rgbf000137-resize,4.070500000000001
0.2889965382715749,0.2889965382715749,125,11.715239650325241,000927_2014-06-09_16-32-30_260595134347_rgbf000123-resize,2.6784999999999988
0.03349620422233868,0.03349620422233868,125,9.336195527413247,001110_2014-06-15_17-25-28_260595134347_rgbf000150-resize,1.7115000000000005
0.1885758525091013,0.1885758525091013,125,11.625680938349673,002875_2014-06-01_15-19-00_094959634447_rgbf000151-resize,1.9674999999999967
0.2875953045153479,0.2875953045153479,125,11.624075606213012,001011_2014-06-08_23-18-54_260595134347_rgbf000044-resize,2.4730000000000083
0.8824576663620252,0.8824576663620252,125,8.406298609581565,001055_2014-06-08_18-45-35_260595134347_rgbf000111-resize,2.428999999999993
0.1416288240280716,0.1416288240280716,125,28.282249848901696,001199_2014-06-17_16-03-48_260595134347_rgbf000077-resize,3.4375
0.07640929183682382,0.07640929183682382,125,19.999457360175192,003490_2014-05-21_15-50-11_094959634447_rgbf000101-resize,3.6444999999999945
0.6100564903404624,0.6100564903404624,125,15.34903910495583,001175_2014-06-17_15-45-55_260595134347_rgbf000129-resize,4.254999999999996
0.8512728246755378,0.8512728246755378,125,7.91768620575396,002340_2014-06-28_20-05-46_260595134347_rgbf000113-resize,2.473500000000001
0.30490486092838753,0.30490486092838753,125,7.049977084494088,001016_2014-06-09_16-16-10_260595134347_rgbf000112-resize,1.6564999999999959
0.4804551328782828,0.4804551328782828,125,35.43119222475438,003423_2014-05-21_10-23-26_094959634447_rgbf002665-resize,3.2574999999999945
0.15163914250845356,0.15163914250845356,125,24.355606534500392,003048_2014-06-15_13-49-43_094959634447_rgbf000150-resize,4.003499999999994
0.15061759769503322,0.15061759769503322,125,8.475049543704081,002043_2014-06-24_20-29-38_260595134347_rgbf000039-resize,2.8435000000000046
0.1454213067563792,0.1454213067563792,125,13.241348366125557,000414_2014-06-04_19-49-13_260595134347_rgbf000044-resize,4.328999999999993
0.33803642032553183,0.33803642032553183,125,14.429351101546246,000709_2014-06-08_13-51-55_260595134347_rgbf000068-resize,1.8029999999999977
0.5326933777305517,0.5326933777305517,125,10.990036854719376,002057_2014-06-24_21-00-13_260595134347_rgbf000120-resize,2.966999999999997
0.12056436890634892,0.12056436890634892,125,3.8622659094666254,001516_2014-06-20_16-25-09_260595134347_rgbf000076-resize,1.7444999999999955
0.589806829990854,0.589806829990854,125,11.387296889913552,002213_2014-06-28_18-37-58_260595134347_rgbf000055-resize,3.6200000000000037
0.03742544299128764,0.03742544299128764,125,6.7629638807870815,001244_2014-06-17_16-47-45_260595134347_rgbf000030-resize,2.0424999999999995
0.028965311932738325,0.028965311932738325,125,8.755513319222857,001059_2014-06-08_21-53-27_260595134347_rgbf000061-resize,2.418499999999996
0.319028804158878,0.319028804158878,125,10.796976226722654,000635_2014-06-08_16-38-42_260595134347_rgbf000106-resize,2.0740000000000065
0.7940468031761574,0.7940468031761574,125,54.80046590295557,000692_2014-06-08_13-09-42_260595134347_rgbf000199-resize,3.6609999999999974
0.6629575793801703,0.6629575793801703,125,6.696951333567531,003010_2014-06-15_12-54-35_094959634447_rgbf000112-resize,3.118499999999995
0.40047735221314656,0.40047735221314656,125,7.377848172936663,002805_2014-06-22_19-54-03_094959634447_rgbf000079-resize,3.144000000000004
0.6453890757527874,0.6453890757527874,125,16.12201726422563,000906_2014-06-08_13-35-43_260595134347_rgbf000155-resize,2.8489999999999926
0.15176440601361052,0.15176440601361052,125,23.07176470133362,003621_2014-05-23_18-06-08_094959634447_rgbf000101-resize,3.983500000000003
0.2523510164266828,0.2523510164266828,125,27.906783421951957,002989_2014-06-15_12-25-03_094959634447_rgbf000150-resize,4.197499999999994
0.2352611963337164,0.2352611963337164,125,3.938570017428758,002725_2014-06-22_11-47-51_094959634447_rgbf000070-resize,2.1949999999999945
0.2788371538502047,0.2788371538502047,125,25.87613690895519,001052_2014-06-08_18-24-54_260595134347_rgbf000130-resize,4.1044999999999945
0.23018504324588185,0.23018504324588185,125,14.460306569198616,002988_2014-06-15_12-24-20_094959634447_rgbf000150-resize,4.767000000000014
0.30400971438697794,0.30400971438697794,125,8.789636111124727,002750_2014-06-22_19-08-03_094959634447_rgbf000094-resize,2.3540000000000005
0.034807209217163626,0.034807209217163626,125,4.1736441355391865,002549_2014-06-24_13-41-39_094959634447_rgbf000022-resize,1.4759999999999993
