subjID,duration,s_residual,abs_s_residual,stimulus,error,abs_error,actual_depth,groundPlane
541423.0,1.25,0.906976787409278,0.906976787409278,001808_2014-06-26_20-50-58_260595134347_rgbf000029-resize,-2.7593309420518315,2.7593309420518315,4.249,20.030651550568866
541423.0,1.25,1.5902972952456615,1.5902972952456615,001815_2014-06-26_20-52-55_260595134347_rgbf000020-resize,-1.6351323237636397,1.6351323237636397,3.3865,18.626322656731816
541423.0,1.25,0.2863745740901707,0.2863745740901707,003081_2014-06-15_15-19-16_094959634447_rgbf000150-resize,-3.207926796916407,3.207926796916407,3.9125,16.632991649560594
541423.0,1.25,0.7251057577069929,0.7251057577069929,002568_2014-06-24_13-59-21_094959634447_rgbf000062-resize,-2.310426796916407,2.310426796916407,3.015,29.63840999388049
541423.0,1.25,0.6712601096724456,0.6712601096724456,001235_2014-06-17_16-37-36_260595134347_rgbf000084-resize,-2.694228178628215,2.694228178628215,3.6605,14.547706659434104
541423.0,1.25,1.1944129277621385,1.1944129277621385,000692_2014-06-08_13-09-42_260595134347_rgbf000199-resize,-2.1713309420518314,2.1713309420518314,3.661,54.80046590295557
541423.0,1.25,0.2837595516982658,0.2837595516982658,000780_2014-06-08_22-28-29_260595134347_rgbf000126-resize,-2.939625415204599,2.939625415204599,3.3825,14.165390776882042
541423.0,1.25,0.4293593888065169,0.4293593888065169,002213_2014-06-28_18-37-58_260595134347_rgbf000055-resize,-2.915426796916407,2.915426796916407,3.62,11.387296889913552
541423.0,1.25,0.7750643855559252,0.7750643855559252,003621_2014-05-23_18-06-08_094959634447_rgbf000101-resize,-2.755529560340023,2.755529560340023,3.9835,23.07176470133362
541423.0,1.25,0.380646528992567,0.380646528992567,001175_2014-06-17_15-45-55_260595134347_rgbf000129-resize,-3.288728178628215,3.288728178628215,4.255,15.34903910495583
541423.0,1.25,0.1556842646702937,0.1556842646702937,003490_2014-05-21_15-50-11_094959634447_rgbf000101-resize,-3.201625415204599,3.201625415204599,3.6445,19.999457360175192
541423.0,1.25,0.6617041130898442,0.6617041130898442,000635_2014-06-08_16-38-42_260595134347_rgbf000106-resize,-1.8928240334927908,1.8928240334927908,2.074,10.796976226722654
541423.0,1.25,0.0238454437786591,0.0238454437786591,002043_2014-06-24_20-29-38_260595134347_rgbf000039-resize,-2.9240226517809838,2.9240226517809838,2.8435,8.475049543704081
541423.0,1.25,0.7652876460881455,0.7652876460881455,003048_2014-06-15_13-49-43_094959634447_rgbf000150-resize,-2.775529560340023,2.775529560340023,4.0035,24.355606534500392
541423.0,1.25,0.7498656058248743,0.7498656058248743,001055_2014-06-08_18-45-35_260595134347_rgbf000111-resize,-1.9861254152045995,1.9861254152045995,2.4290000000000003,8.406298609581565
541423.0,1.25,0.0865138329357208,0.0865138329357208,000137_2014-05-20_17-04-49_260595134347_rgbf000120-resize,-3.3431254152045997,3.3431254152045997,3.786,14.89611111351161
541423.0,1.25,0.0052696387898693,0.0052696387898693,000642_2014-06-08_16-59-25_260595134347_rgbf000098-resize,-2.962022651780983,2.962022651780983,2.8815,31.36214301237791
541423.0,1.25,0.556139002439291,0.556139002439291,002425_2014-06-28_20-27-29_260595134347_rgbf000031-resize,-2.929728178628215,2.929728178628215,3.896,8.40495801096819
541423.0,1.25,0.8974207908266806,0.8974207908266806,001056_2014-06-08_18-46-44_260595134347_rgbf000068-resize,-1.9579267969164071,1.9579267969164071,2.6625,11.38594592369452
541423.0,1.25,0.6367971030485112,0.6367971030485112,002323_2014-06-28_20-01-54_260595134347_rgbf000051-resize,-2.764728178628215,2.764728178628215,3.731,18.09172628388976
541423.0,1.25,1.6533572648128765,1.6533572648128765,003423_2014-05-21_10-23-26_094959634447_rgbf002665-resize,-1.5061323237636397,1.5061323237636397,3.2575,35.43119222475438
541423.0,1.25,0.3444725929617672,0.3444725929617672,000414_2014-06-04_19-49-13_260595134347_rgbf000044-resize,-3.362728178628215,3.362728178628215,4.329,13.241348366125557
541423.0,1.25,0.0504371534681497,0.0504371534681497,003129_2014-05-12_10-48-10_094959634447_rgbf000100-resize,-3.964228178628216,3.964228178628216,4.9305,17.9074543760639
541423.0,1.25,0.9154578534818604,0.9154578534818604,002988_2014-06-15_12-24-20_094959634447_rgbf000150-resize,-3.01563232376364,3.01563232376364,4.767,14.460306569198616
541423.0,1.25,0.6089833009255394,0.6089833009255394,002788_2014-06-22_19-36-03_094959634447_rgbf000088-resize,-1.7270226517809832,1.7270226517809832,1.6465,21.7158464010581
541423.0,1.25,0.7009320031257396,0.7009320031257396,002748_2014-06-22_19-07-22_094959634447_rgbf000078-resize,-3.1808309420518315,3.1808309420518315,4.6705,35.71435075733748
541423.0,1.25,0.5854692208426376,0.5854692208426376,002995_2014-06-15_12-31-26_094959634447_rgbf000150-resize,-2.869728178628215,2.869728178628215,3.836,27.231594395483473
541423.0,1.25,0.470836950582873,0.470836950582873,000436_2014-06-09_22-25-11_260595134347_rgbf000137-resize,-3.1042281786282158,3.1042281786282158,4.0705,20.69156545677159
541423.0,1.25,0.5768409928466001,0.5768409928466001,002444_2014-06-28_20-32-08_260595134347_rgbf000027-resize,-3.1610295603400216,3.1610295603400216,4.388999999999999,17.102760279009576
541423.0,1.25,0.9253081739113788,0.9253081739113788,001133_2014-06-17_14-49-16_260595134347_rgbf000100-resize,-2.721830942051832,2.721830942051832,4.2115,26.759918254713728
541423.0,1.25,0.3643440713457572,0.3643440713457572,001132_2014-06-17_14-48-54_260595134347_rgbf000100-resize,-3.048426796916407,3.048426796916407,3.753,14.398279213278778
