pos_s_residual,abs_s_residual,abs_error,error,groundPlane,actual_depth
0.6852584,0.883585276,2.74689478,-2.74316329,34.79652683,3.8715
0.058863305,0.542584305,3.330574601,-3.330574601,14.89611111,3.786
0.479210171,0.706133555,2.916383069,-2.916383069,12.34075727,3.7995
0.393287248,0.737945184,3.24546181,-3.243731881,13.24134837,4.329
0.467591912,0.810611911,3.051563964,-3.051563964,20.69156546,4.0705
0.054048021,0.664583968,3.651363712,-3.651363712,19.08143291,4.479
0.374867229,0.580154825,2.264221851,-2.233983098,10.79697623,2.074
0.506006498,0.831804737,2.851991538,-2.826437572,54.8004659,3.661
0.375039726,0.670744236,2.131411605,-2.110247965,14.4293511,1.803
0.341773706,0.653384443,2.863004171,-2.863004171,11.91317738,3.381
0.247567684,0.571606159,2.957894119,-2.957894119,14.16539078,3.3825
0.310524661,0.466894549,2.035439841,-2.030454638,3.095889012,1.4865
0.322175152,0.567986708,2.319619121,-2.294882288,5.576511522,2.092
0.42274961,0.590114577,2.539462501,-2.539462501,16.12201726,2.849
0.117709526,0.451094302,2.766762992,-2.766762992,11.71523965,2.6785
0.001736829,0.48601409,2.568432887,-2.562658306,15.89309915,1.9765
0.325238731,0.48031037,2.46629303,-2.465535921,11.62407561,2.473
0.441478752,0.577385173,1.979360963,-1.977012164,7.049977084,1.6565
0.206288295,0.65992874,3.328369905,-3.328369905,25.87613691,4.1045
0.581248073,0.752111903,2.196940057,-2.189464749,8.40629861,2.429
0.080349044,0.406108089,2.796828263,-2.796828263,11.38594592,2.6625
0.035342021,0.370523924,2.730583319,-2.730583319,8.755513319,2.4185
0.448477926,0.854966911,3.145602318,-3.144769937,19.74344947,4.233
0.084264568,0.657644885,3.501916059,-3.501916059,17.19677127,4.2175
0.22955733,0.397941129,2.214010873,-2.214010873,9.336195527,1.7115
0.364841293,0.559953838,2.169153357,-2.148943316,18.66779988,1.8655
0.166902345,0.760625066,3.562446798,-3.562446798,26.95445197,4.5315
0.133613684,0.524792213,2.602902836,-2.602902836,17.32566881,2.354
0.547600676,0.826129435,3.055678103,-3.055678103,15.3490391,4.255
0.536324224,0.855950345,2.721151068,-2.694214866,28.28224985,3.4375
0.212901401,0.608579043,3.335663295,-3.335663295,18.95235575,4.135
0.070620223,0.581342875,3.421254603,-3.421254603,12.34882649,4.010666667
0.338530009,0.526086626,2.121329094,-2.120084567,3.862265909,1.7445
0.07927417,0.627734743,3.710331626,-3.620666154,22.17951068,4.467
0.127303144,0.576414062,3.47323993,-3.47323993,20.03065155,4.249
0.519664165,0.730206663,2.687621441,-2.687621441,18.62632266,3.3865
0.166024481,0.809307712,3.507014753,-3.507014753,15.52430364,4.408
0.320916242,0.574633657,2.63878814,-2.63878814,8.475049544,2.8435
0.517394308,0.734036471,2.498619984,-2.498619984,10.99003685,2.967
0.001315247,0.627261559,3.533570928,-3.533570928,11.59801887,4.105
0.55490329,0.789576542,2.770470019,-2.758846802,11.38729689,3.62
0.304855627,0.683324483,3.05950499,-3.05950499,18.09172628,3.731
0.737585562,0.807972519,2.069620937,-2.053417065,7.917686206,2.4735
0.020206884,0.65787244,3.721240992,-3.632314569,31.72066218,4.363
0.03633979,0.617533657,3.628036381,-3.628036381,17.10276028,4.389
0.243071969,0.417816604,2.295789928,-2.295789928,12.08382405,1.9205
0.019417183,0.476448759,2.325476899,-2.316774633,4.173644136,1.476
0.557370802,0.739351631,2.478021394,-2.478021394,10.6614012,3.0095
0.251901131,0.471722414,2.33470733,-2.321157068,10.9720278,1.9955
0.471942296,0.66291425,2.297184191,-2.186606656,32.96558503,2.183
0.164603938,0.496172551,2.499416423,-2.499416423,3.938570017,2.195
0.546870051,0.907213794,3.307778963,-3.245856238,35.71435076,4.6705
0.293390226,0.449673796,2.445321624,-2.443126294,8.789636111,2.354
0.221158426,0.476655051,2.222772689,-2.209757145,5.591978359,1.68375
0.726433704,0.799371633,1.748826323,-1.687497705,21.7158464,1.6465
0.466343157,0.680874265,2.630374407,-2.630374407,7.377848173,3.144
0.204367615,0.59293082,2.362684274,-2.355923964,11.62568094,1.9675
0.114942583,0.751446272,3.721782947,-3.721782947,14.46030657,4.767
0.465955574,0.774131451,3.11110604,-3.11110604,27.90678342,4.1975
0.410346786,0.719864582,3.001888654,-3.001888654,27.2315944,3.836
0.770496661,0.890935873,2.317163461,-2.314594161,6.696951334,3.1185
0.196589686,0.609267273,3.292017494,-3.292017494,24.35560653,4.0035
0.078396717,0.500400084,2.925990833,-2.925990833,10.66482374,2.9415
0.757374088,0.863550148,2.234397271,-2.217832617,9.03213421,2.8775
0.426916449,0.76988552,3.126610728,-3.124155975,19.17283446,4.1405
0.322556384,0.837835186,2.825911582,-2.825911582,35.43119222,3.2575
0.076634963,0.613997285,3.24828592,-3.24828592,19.99945736,3.6445
0.277654043,0.629281365,3.201834124,-3.201834124,23.0717647,3.9835
