subjID,duration,s_residual,abs_s_residual,stimulus,error,abs_error,actual_depth,groundPlane
541423.0,1.25,-0.3551740481229417,0.3551740481229417,001029_2014-06-08_13-17-57_260595134347_rgbf000065-resize,-3.4257212700691757,3.4257212700691757,3.0835,18.209734661918688
541423.0,1.25,-0.8478481363375299,0.8478481363375299,000677_2014-06-08_23-10-32_260595134347_rgbf000158-resize,-4.159919888357367,4.159919888357367,3.556,19.65196273325612
541423.0,1.25,-0.485717195619367,0.485717195619367,001516_2014-06-20_16-25-09_260595134347_rgbf000076-resize,-2.8718171249337505,2.8718171249337505,1.7445,3.8622659094666254
541423.0,1.25,-0.8472620428008991,0.8472620428008991,001417_2014-06-19_16-25-36_260595134347_rgbf000115-resize,-4.706022651780983,4.706022651780983,4.6255,49.17091269608214
541423.0,1.25,-0.9645330110540932,0.9645330110540932,000682_2014-06-08_23-14-58_260595134347_rgbf000041-resize,-3.8513171249337512,3.8513171249337512,2.7239999999999998,8.707843071693064
541423.0,1.25,-1.1098148487139294,1.1098148487139294,001650_2014-06-20_12-09-00_260595134347_rgbf000087-resize,-3.6012143615101344,3.6012143615101344,1.9505,47.6804595860539
541423.0,1.25,-0.6313906136893523,0.6313906136893523,001244_2014-06-17_16-47-45_260595134347_rgbf000030-resize,-3.1698171249337506,3.1698171249337506,2.0425,6.7629638807870815
541423.0,1.25,-0.4275455957860512,0.4275455957860512,003495_2014-05-21_16-01-51_094959634447_rgbf000100-resize,-2.7528171249337507,2.7528171249337507,1.6255,12.747278812179
541423.0,1.25,-0.01621551243774666,0.01621551243774666,001158_2014-06-17_15-32-16_260595134347_rgbf000138-resize,-3.826926796916408,3.826926796916408,4.5315,26.954451973303737
541423.0,1.25,-0.4294535924765868,0.4294535924765868,000556_2014-06-09_22-42-56_260595134347_rgbf000214-resize,-4.3986254152046,4.3986254152046,4.8415,23.88242025565649
541423.0,1.25,-0.03398448100472834,0.03398448100472834,001150_2014-06-17_15-27-34_260595134347_rgbf000108-resize,-3.589625415204599,3.589625415204599,4.0325,11.088139074292139
541423.0,1.25,-0.8656171049045125,0.8656171049045125,000665_2014-06-09_20-42-35_260595134347_rgbf000110-resize,-3.9226185066455592,3.9226185066455592,3.057,18.49880761375764
541423.0,1.25,-0.8117477812684595,0.8117477812684595,002375_2014-06-28_20-13-44_260595134347_rgbf000032-resize,-4.3597212700691745,4.3597212700691745,4.0175,48.76103649676905
541423.0,1.25,-0.7515472525798543,0.7515472525798543,000788_2014-06-08_22-34-36_260595134347_rgbf000131-resize,-3.962919888357367,3.962919888357367,3.359,21.46386213810664
541423.0,1.25,-0.6478165576580995,0.6478165576580995,001094_2014-06-15_17-36-00_260595134347_rgbf000205-resize,-4.2980226517809825,4.2980226517809825,4.2175,17.196771274488466
541423.0,1.25,-0.7897002121057262,0.7897002121057262,000470_2014-06-09_19-42-40_260595134347_rgbf000094-resize,-3.2200157432219427,3.2200157432219427,1.831,22.486379427626872
541423.0,1.25,-0.8184680125739635,0.8184680125739635,000109_2014-05-14_23-41-52_260595134347_rgbf000035-resize,-3.0052143615101348,3.0052143615101348,1.3545,6.620498200896815
541423.0,1.25,-0.7950038378512809,0.7950038378512809,002509_2014-06-24_13-19-22_094959634447_rgbf000077-resize,-2.9572143615101347,2.9572143615101347,1.3065,40.21868783296904
541423.0,1.25,-0.7222407097780195,0.7222407097780195,003338_2014-05-20_11-01-23_094959634447_rgbf000051-resize,-3.0820157432219433,3.0820157432219433,1.693,28.251495663089063
541423.0,1.25,-0.5151288868516349,0.5151288868516349,002784_2014-06-22_19-26-30_094959634447_rgbf000083-resize,-2.9319837916004508,2.9319837916004508,1.8046666666667,3.0422522474895675
541423.0,1.25,-1.2513331525101068,1.2513331525101068,001100_2014-06-15_17-46-26_260595134347_rgbf000225-resize,-3.890714361510135,3.890714361510135,2.24,9.548860596737413
541423.0,1.25,-0.7021983938690567,0.7021983938690567,000469_2014-06-09_19-42-10_260595134347_rgbf000081-resize,-3.0410157432219425,3.0410157432219425,1.652,25.13136208408983
541423.0,1.25,-0.5482147472514585,0.5482147472514585,000483_2014-06-09_20-41-45_260595134347_rgbf000116-resize,-2.7260157432219434,2.7260157432219434,1.337,29.232414989368262
541423.0,1.25,-0.1978657992548558,0.1978657992548558,002964_2014-06-08_17-46-11_094959634447_rgbf000091-resize,-2.5566185066455587,2.5566185066455587,1.6909999999999998,28.953812917975768
541423.0,1.25,-0.5895950524645731,0.5895950524645731,002136_2014-06-25_21-18-03_260595134347_rgbf000109-resize,-3.0843171249337513,3.0843171249337513,1.9569999999999999,13.297078442475444
541423.0,1.25,-0.21754276451237087,0.21754276451237087,002039_2014-06-24_20-22-38_260595134347_rgbf000084-resize,-3.9651254152046,3.9651254152046,4.408,15.524303639345458
541423.0,1.25,-0.3311237798636346,0.3311237798636346,002103_2014-06-25_20-00-40_260595134347_rgbf000049-resize,-3.923824033492792,3.923824033492792,4.105,11.598018874569219
541423.0,1.25,-0.3545879545863169,0.3545879545863169,000691_2014-06-08_13-08-50_260595134347_rgbf000132-resize,-3.971824033492792,3.971824033492792,4.1530000000000005,14.740846212587924
541423.0,1.25,-0.2498296803575646,0.2498296803575646,000929_2014-06-09_16-33-19_260595134347_rgbf000139-resize,-3.210221270069176,3.210221270069176,2.8680000000000003,19.501338012209015
541423.0,1.25,-0.10821411999815186,0.10821411999815186,000457_2014-06-08_16-52-43_260595134347_rgbf000199-resize,-3.467824033492791,3.467824033492791,3.6489999999999996,14.067279821032837
