duration,subjID,stimulus,neg_s_residual,abs_s_residual,abs_error,error,groundPlane,actual_depth
250,442049,000734_2014-06-08_17-39-11_260595134347_rgbf000128-resize,-0.457446955,0.457446955,4.00928981,-4.00928981,16.05223162,4.098
250,442049,000522_2014-06-08_13-35-06_260595134347_rgbf000244-resize,-1.843216051,1.843216051,4.574469718,-4.574469718,25.74260985,2.3715
250,442049,002949_2014-06-26_15-57-42_094959634447_rgbf000079-resize,-0.063568924,0.063568924,2.566683113,-2.566683113,17.99500168,1.8915
250,442049,000866_2014-06-09_20-45-42_260595134347_rgbf000139-resize,-1.522177498,1.522177498,4.654576416,-4.654576416,8.082259189,3.2155
250,442049,001555_2014-06-20_17-12-10_260595134347_rgbf000065-resize,-0.691824842,0.691824842,3.072076416,-3.072076416,7.608284544,1.633
250,442049,003534_2014-05-22_15-06-10_094959634447_rgbf000102-resize,-0.583209992,0.583209992,2.865076416,-2.865076416,12.37699401,1.426
250,442049,003292_2014-05-14_21-53-49_094959634447_rgbf000100-resize,-0.133963598,0.133963598,3.39278981,-3.39278981,33.08428271,3.4815
250,442049,002639_2014-06-24_14-51-37_094959634447_rgbf000074-resize,-0.425702035,0.425702035,3.94878981,-3.94878981,16.52140679,4.0375
250,442049,001447_2014-06-19_17-00-32_260595134347_rgbf000082-resize,-2.00609076,2.00609076,5.576826416,-5.576826416,46.83039942,4.13775
250,442049,002549_2014-06-24_13-41-39_094959634447_rgbf000022-resize,-0.609445463,0.609445463,2.915076416,-2.915076416,4.173644136,1.476
250,442049,001806_2014-06-26_20-50-20_260595134347_rgbf000091-resize,-0.503800127,0.503800127,3.405683113,-3.405683113,13.90986971,2.7305
250,442049,000493_2014-06-09_21-01-18_260595134347_rgbf000196-resize,-0.112188157,0.112188157,3.35128981,-3.35128981,19.62928538,3.44
250,442049,001449_2014-06-19_17-01-27_260595134347_rgbf000116-resize,-0.11848467,0.11848467,3.36328981,-3.36328981,8.994872109,3.452
250,442049,003228_2014-05-14_13-42-35_094959634447_rgbf000101-resize,-0.867602498,0.867602498,3.407076416,-3.407076416,14.40337639,1.968
250,442049,000368_2014-06-09_15-53-01_260595134347_rgbf000155-resize,-0.375508674,0.375508674,3.161183113,-3.161183113,21.09070096,2.486
250,442049,002209_2014-06-28_18-36-10_260595134347_rgbf000051-resize,-0.150408333,0.150408333,2.732183113,-2.732183113,12.96206883,2.057
