neg_s_residual,abs_s_residual,abs_error,error,groundPlane,actual_depth
-0.006510563,0.515927925,2.280595304,-2.265418738,40.21868783,1.3065
-0.018398427,0.429769723,3.056298352,-3.056298352,29.63840999,3.015
-0.213089235,0.700246125,3.716970763,-3.716970763,41.59614038,4.037
-0.045536784,0.475191069,2.969596588,-2.966029407,44.47386082,2.7575
-0.188729981,0.548803167,3.692839484,-3.692839484,16.52140679,4.0375
-0.17025153,0.554966417,3.463939791,-3.463939791,15.11997681,3.576
-0.109428099,0.783589224,3.938174492,-3.938174492,16.72595409,4.7495
-0.201066326,0.458552313,3.029228935,-3.029228935,7.204478276,2.555
-0.239126607,0.529859678,2.726027385,-2.725174216,3.042252247,1.804666667
-0.151870121,0.427137613,2.740430643,-2.740430643,12.02060434,2.0295
-0.157399371,0.438566028,2.686210503,-2.683038698,17.99500168,1.8915
-0.096425758,0.661699531,2.590415404,-2.466813876,13.90502793,1.551
-0.284820285,0.561314267,2.719041499,-2.719041499,28.95381292,1.691
-0.105710491,0.455030943,3.552826159,-3.552826159,16.63299165,3.9125
-0.259831229,0.744760496,4.171104697,-4.171104697,17.90745438,4.9305
-0.309821139,0.510515795,2.870340694,-2.870340694,14.40337639,1.968
-0.447422535,0.599044304,3.698023456,-3.698023456,33.08428271,3.4815
-0.198149223,0.503496489,2.633282339,-2.633282339,28.25149566,1.693
-0.258373622,0.551079566,2.707562979,-2.662730066,12.74727881,1.6255
-0.328348616,0.593542222,2.647628469,-2.641742897,12.37699401,1.426
-0.287287286,0.631075936,2.580997522,-2.56922097,20.78817272,1.357
