duration,subjID,stimulus,pos_s_residual,abs_s_residual,abs_error,error,groundPlane,actual_depth
1000,928935,001164_2014-06-17_15-35-46_260595134347_rgbf000085-resize,1.708475319,1.708475319,1.028041202,-1.028041202,17.32566881,2.354
1000,928935,001136_2014-06-17_15-19-41_260595134347_rgbf000076-resize,1.393646064,1.393646064,1.120138545,-1.120138545,18.66779988,1.8655
1000,928935,000739_2014-06-08_18-45-58_260595134347_rgbf000068-resize,0.485899787,0.485899787,2.788638545,-2.788638545,8.164356964,3.534
1000,928935,002989_2014-06-15_12-25-03_094959634447_rgbf000150-resize,0.705520412,0.705520412,2.871541202,-2.871541202,27.90678342,4.1975
1000,928935,002637_2014-06-24_14-51-13_094959634447_rgbf000066-resize,0.161724966,0.161724966,2.411333233,-2.411333233,10.9720278,1.9955
1000,928935,001016_2014-06-09_16-16-10_260595134347_rgbf000112-resize,0.346157683,0.346157683,2.072333233,-2.072333233,7.049977084,1.6565
1000,928935,002340_2014-06-28_20-05-46_260595134347_rgbf000113-resize,1.062864082,1.062864082,1.728138545,-1.728138545,7.917686206,2.4735
1000,928935,000773_2014-06-08_22-24-54_260595134347_rgbf000093-resize,0.283610171,0.283610171,3.647041202,-3.647041202,21.45352632,4.973
1000,928935,002414_2014-06-28_20-24-58_260595134347_rgbf000067-resize,0.615480251,0.615480251,3.037041202,-3.037041202,31.72066218,4.363
1000,928935,001392_2014-06-19_16-07-59_260595134347_rgbf000046-resize,0.15892615,0.15892615,3.389638545,-3.389638545,18.95235575,4.135
1000,928935,000447_2014-06-08_16-15-46_260595134347_rgbf000130-resize,0.552370531,0.552370531,3.153041202,-3.153041202,19.08143291,4.479
1000,928935,001066_2014-06-08_22-03-20_260595134347_rgbf000066-resize,0.105609318,0.105609318,3.487638545,-3.487638545,19.74344947,4.233
1000,928935,002549_2014-06-24_13-41-39_094959634447_rgbf000022-resize,0.444358583,0.444358583,1.891833233,-1.891833233,4.173644136,1.476
1000,928935,001199_2014-06-17_16-03-48_260595134347_rgbf000077-resize,1.118997889,1.118997889,2.111541202,-2.111541202,28.28224985,3.4375
1000,928935,003083_2014-06-15_15-21-03_094959634447_rgbf000063-resize,0.736531223,0.736531223,2.814541202,-2.814541202,19.17283446,4.1405
1000,928935,000191_2014-05-12_17-07-38_260595134347_rgbf000199-resize,0.922052038,0.922052038,2.473541202,-2.473541202,12.34075727,3.7995
1000,928935,003079_2014-06-15_15-18-20_094959634447_rgbf000152-resize,0.262470817,0.262470817,2.712735889,-2.712735889,9.03213421,2.8775
1000,928935,001449_2014-06-19_17-01-27_260595134347_rgbf000116-resize,0.53051183,0.53051183,2.706638545,-2.706638545,8.994872109,3.452
1000,928935,001450_2014-06-19_17-02-03_260595134347_rgbf000203-resize,0.807166959,0.807166959,2.684707868,-2.684707868,12.34882649,4.010666667
