neg_s_residual,abs_s_residual,abs_error,error,groundPlane,actual_depth
-0.159752459,0.586186481,2.432633677,-2.407635606,6.620498201,1.3545
-0.11574131,0.529628778,3.519293504,-3.519293504,14.89611111,3.786
-0.317321158,0.501268894,3.102995597,-3.102995597,21.09070096,2.486
-0.121071988,0.580005712,3.540403514,-3.499671427,12.69654998,3.7335
-0.084109043,0.693811431,3.81703761,-3.81703761,19.08143291,4.479
-0.273580272,0.518569018,3.612017657,-3.612017657,14.06727982,3.649
-0.171135281,0.503871435,2.560417375,-2.560417375,25.13136208,1.652
-0.157981791,0.534142944,2.747477571,-2.632340899,22.48637943,1.831
-0.010991743,0.55197201,2.312698156,-2.250557305,29.23241499,1.337
-0.129742178,0.455736057,3.368843831,-3.368843831,19.62928538,3.44
-0.196071295,0.435093105,2.955604752,-2.955604752,13.89728758,2.431
-0.131881255,0.490372568,3.664950132,-3.664950132,16.71621201,4.0585
-0.776911588,0.900142099,3.508165255,-3.508165255,25.74260985,2.3715
-0.461042259,0.674300737,2.940154273,-2.940154273,30.99307978,1.841
-0.404971121,0.744537705,4.310192523,-4.310192523,23.88242026,4.8415
-0.056953381,0.478013653,3.031527612,-3.030605244,31.36214301,2.8815
-0.151913994,0.416047037,3.208979354,-3.208979354,18.49880761,3.057
-0.255771635,0.588515599,3.57964929,-3.550006996,19.65196273,3.556
-0.22277713,0.515801152,3.121570727,-3.121570727,8.707843072,2.724
-0.155899651,0.611390595,3.746665991,-3.733883488,14.74084621,4.153
-0.425669312,0.633293349,3.985737102,-3.977512168,16.05223162,4.098
-0.500855189,0.623194018,3.775603636,-3.775603636,33.40817061,3.515
-0.27257055,0.669074122,4.078218576,-4.078218576,18.91549954,4.632
-0.300912295,0.754549122,4.268634408,-4.268634408,21.45352632,4.973
-0.350465442,0.517347321,3.551068558,-3.551068558,21.46386214,3.359
-0.63988135,0.802187921,3.702174907,-3.702174907,11.91082763,3.068
