pos_s_residual,abs_s_residual,abs_error,error,groundPlane,actual_depth
0.764632101,0.902131619,2.688860944,-2.679557438,34.79652683,3.8715
0.634577621,0.917297122,2.877633389,-2.775390996,12.34075727,3.7995
0.295462985,0.715532763,3.376075904,-3.366171994,13.24134837,4.329
0.42728611,0.840289791,3.213963489,-3.111486255,20.69156546,4.0705
0.313966097,0.45020903,2.275888622,-2.275888622,10.79697623,2.074
0.724751172,1.099909611,2.624075426,-2.6193897,54.8004659,3.661
0.247768485,0.545352187,2.226362349,-2.213282487,14.4293511,1.803
0.037885997,0.505610479,3.24589297,-3.24589297,8.164356964,3.534
0.2995393,0.62620902,2.911520209,-2.911520209,11.91317738,3.381
0.152570543,0.541751577,3.059201902,-3.059201902,14.16539078,3.3825
0.176024892,0.444388752,2.135714907,-2.134596612,3.095889012,1.4865
0.252744751,0.483293647,2.345665199,-2.345665199,5.576511522,2.092
0.51669335,0.660455863,2.44151157,-2.44151157,16.12201726,2.849
0.187573172,0.446643746,2.689594704,-2.689594704,11.71523965,2.6785
0.057932246,0.513011685,2.547826076,-2.485581642,15.89309915,1.9765
0.334336905,0.510982674,2.445158756,-2.445158756,11.62407561,2.473
0.308645089,0.464384057,2.095686927,-2.082775813,7.049977084,1.6565
0.029348925,0.613102281,3.570741336,-3.525583319,25.87613691,4.1045
0.709638815,0.816429745,2.062669048,-2.048944061,8.40629861,2.429
0.094673267,0.413218533,2.774889959,-2.774889959,11.38594592,2.6625
0.055279123,0.430542593,2.748634642,-2.698313202,8.755513319,2.4185
0.234940643,0.726525337,3.381066441,-3.381066441,19.74344947,4.233
0.047731471,0.62604671,3.660517394,-3.560908608,17.19677127,4.2175
0.261526119,0.491862296,2.248456824,-2.156035766,9.336195527,1.7115
0.348490192,0.580699802,2.205573371,-2.142266441,18.66779988,1.8655
0.130079897,0.781400975,3.627801425,-3.627801425,26.95445197,4.5315
0.075312251,0.511446394,2.647623832,-2.647623832,17.32566881,2.354
0.703836379,1.013299836,3.023351991,-2.922627097,15.3490391,4.255
0.410668461,0.697366672,2.858944155,-2.827244965,28.28224985,3.4375
0.172779052,0.642067628,3.396649554,-3.396649554,18.95235575,4.135
0.122276742,0.587030442,3.388057402,-3.388057402,12.34882649,4.010666667
0.301671108,0.492363753,2.150396016,-2.131575366,3.862265909,1.7445
0.080486621,0.641765299,3.646738458,-3.646738458,22.17951068,4.467
0.13872955,0.620529304,3.575770399,-3.484882182,20.03065155,4.249
0.493907597,0.697791886,2.71976601,-2.71976601,18.62632266,3.3865
0.128372816,0.822009602,3.666405601,-3.570810119,15.52430364,4.408
0.201084535,0.539492337,2.772265336,-2.754506286,8.475049544,2.8435
0.484905827,0.672521263,2.529383381,-2.529383381,10.99003685,2.967
0.646614197,0.855826092,2.716507152,-2.678039761,11.38729689,3.62
0.19402039,0.754850534,3.183390822,-3.183390822,18.09172628,3.731
0.520337983,0.693916295,2.259395324,-2.259395324,7.917686206,2.4735
0.070659978,0.52287179,3.385174179,-3.385174179,8.404958011,3.896
0.366332795,0.485389809,2.157945358,-2.15056482,12.08382405,1.9205
0.018363943,0.524884246,2.289390557,-2.28726701,4.173644136,1.476
0.148683548,0.543812973,2.888419608,-2.888419608,29.63840999,3.015
0.689081929,0.870994618,2.426334353,-2.345407129,10.6614012,3.0095
0.166257329,0.403939273,2.414068362,-2.38628708,10.9720278,1.9955
0.546906639,0.677455921,2.102629423,-2.094754754,32.96558503,2.183
0.187923635,0.455078285,2.459441245,-2.459441245,3.938570017,2.195
0.639816757,1.077878219,3.18647202,-3.184129956,35.71435076,4.6705
0.240694322,0.509799556,2.48224176,-2.48224176,8.789636111,2.354
0.179472055,0.491866317,2.224900516,-2.224900516,5.591978359,1.68375
0.679126045,0.699395573,1.711734271,-1.707541952,21.7158464,1.6465
0.457653811,0.607744965,2.64181935,-2.64076183,7.377848173,3.144
0.197140283,0.576724064,2.353511701,-2.342095989,11.62568094,1.9675
0.350950634,0.752065115,3.248183634,-3.248183634,27.90678342,4.1975
0.361853522,0.712360435,3.065463201,-3.065463201,27.2315944,3.836
0.643583058,0.814154993,2.45699273,-2.442712673,6.696951334,3.1185
0.128824464,0.581552048,3.390410483,-3.378103431,24.35560653,4.0035
0.097561642,0.487252841,2.904607656,-2.904607656,10.66482374,2.9415
0.595400645,0.787127474,2.379902865,-2.376350057,9.03213421,2.8775
0.049494596,0.557609719,3.414181857,-3.414181857,16.63299165,3.9125
0.377053551,0.718483994,3.194989154,-3.194989154,19.17283446,4.1405
0.525009972,0.947369759,2.730496704,-2.62735115,35.43119222,3.2575
0.161353301,0.60767581,3.174945275,-3.174945275,19.99945736,3.6445
0.268266047,0.652689926,3.229156037,-3.229156037,23.0717647,3.9835
