neg_s_residual,abs_s_residual,abs_error,error,groundPlane,actual_depth
-0.200646664,0.562666164,2.405766593,-2.387393012,6.620498201,1.3545
-0.252168482,0.493900176,3.017295796,-3.017295796,21.09070096,2.486
-0.164799487,0.529075704,3.567602677,-3.567602677,12.69654998,3.7335
-0.024066562,0.638132405,3.807941787,-3.807941787,19.08143291,4.479
-0.138855859,0.549959503,3.498465773,-3.498465773,14.06727982,3.649
-0.258568445,0.495620012,2.597385794,-2.597385794,25.13136208,1.652
-0.347530979,0.530507942,2.77784651,-2.77784651,22.48637943,1.831
-0.100099971,0.442592952,2.278607402,-2.277900967,29.23241499,1.337
-0.133241365,0.48618423,3.386018206,-3.386018206,19.62928538,3.44
-0.079960947,0.426297314,2.816974294,-2.816974294,13.89728758,2.431
-0.054015363,0.559484058,3.622946536,-3.622946536,16.71621201,4.0585
-0.660367907,0.899779625,3.366967054,-3.366967054,25.74260985,2.3715
-0.439185983,0.638038168,2.874613145,-2.874613145,30.99307978,1.841
-0.287483428,0.735426683,4.256655251,-4.256655251,23.88242026,4.8415
-0.164807931,0.43376801,3.132100221,-3.132100221,31.36214301,2.8815
-0.268308459,0.470049605,3.325309861,-3.325309861,18.49880761,3.057
-0.333581524,0.544361883,3.645653276,-3.645653276,19.65196273,3.556
-0.280641038,0.595351766,3.167425152,-3.167425152,8.707843072,2.724
-0.141512019,0.675913223,3.758748098,-3.758748098,14.74084621,4.153
-0.146128574,0.622395857,3.735250687,-3.735250687,16.05223162,4.098
-0.44145998,0.665133788,3.732574048,-3.732574048,33.40817061,3.515
-0.156263945,0.63609765,4.018347113,-4.018347113,18.91549954,4.632
-0.262202731,0.702573861,4.298592492,-4.298592492,21.45352632,4.973
-0.324338036,0.594567367,3.555411451,-3.535710672,21.46386214,3.359
-0.583161286,0.746578169,3.645785481,-3.645785481,11.91082763,3.068
-0.099974601,0.650458024,3.319045948,-3.237995343,8.082259189,3.2155
-0.173177064,0.716787686,3.909073419,-3.807537104,9.740561609,4.1865
-0.106023106,0.548426665,3.165984481,-3.066414696,19.50133801,2.868
-0.053218748,0.461575643,2.5579085,-2.5579085,15.89309915,1.9765
-0.493104114,0.724039665,3.719855029,-3.660261148,15.98498318,3.2725
-0.301428342,0.568709793,3.172621983,-3.172621983,9.164038325,2.6935
-0.050473423,0.654944401,3.700679517,-3.700679517,17.19677127,4.2175
-0.592942072,0.711588812,3.232323281,-3.232323281,9.548860597,2.24
-0.037837272,0.518398841,3.45060814,-3.45060814,14.39827921,3.753
-0.069550215,0.710466442,3.716689331,-3.716689331,26.75991825,4.2115
-0.155448863,0.576601042,3.711089797,-3.711089797,11.08813907,4.0325
-0.239749608,0.670887498,2.807038585,-2.680032819,12.01905066,1.8505
-0.37561275,0.557184138,3.224826382,-3.224826382,18.47928258,2.6505
-0.309751512,0.632825156,3.675239801,-3.675239801,14.54770666,3.6605
-0.339858586,0.667666971,4.198619195,-4.198619195,49.1709127,4.6255
-0.669940623,0.910345379,4.288902507,-4.279381466,46.83039942,4.13775
-0.203008129,0.531029278,3.461918927,-3.461918927,8.994872109,3.452
-0.244812018,0.589996844,2.656275492,-2.57391727,7.608284544,1.633
-0.249550748,0.463304371,2.694690007,-2.694690007,4.99196035,1.86
-0.052874306,0.61695367,3.442238263,-3.351655819,17.60283414,3.53
