,r0_VE_125,r0_VE_250,r0_VE_1000,r0_RT_125,r0_RT_250,r0_RT_1000,r1_VE_125,r1_VE_250,r1_VE_1000,r1_RT_125,r1_RT_250,r1_RT_1000
r0_VE_125,1.0,0.00017424184545768265,0.004179237911044731,0.10647509381056523,0.004899709480901522,0.0026225973560282537,-0.0028826784047775392,-0.0022117683806797965,-0.0005284768567240725,0.0010534300738245944,-0.004309233801854291,0.0009976269320119229
r0_VE_250,0.00017424184545768265,1.0,0.019267776144254383,-0.003782833332797023,0.13418864231618274,-0.008237584176991225,0.0057188962453314455,0.24419454786749833,0.02258021527498153,0.0030165257998097197,0.05726316837104796,-0.0015864973256644842
r0_VE_1000,0.004179237911044731,0.019267776144254383,1.0,-0.004732276490031283,0.004915766608753374,0.12448373059359137,-0.000223123068954561,0.04329789578054996,0.23317652349567938,0.004281012221341855,0.007830889008798353,0.038701173991974494
r0_RT_125,0.10647509381056523,-0.003782833332797023,-0.004732276490031283,1.0,0.00563971306470332,-0.0001778382500515735,-0.00277881702424295,-2.4429271901789134e-06,-0.001686367552537654,0.0023705865805876613,0.0038306858151564635,-0.0016362084601477297
r0_RT_250,0.004899709480901522,0.13418864231618274,0.004915766608753374,0.00563971306470332,1.0,-0.0006100087077161174,-0.000962775521979782,0.050423940222997496,0.0026329401651692826,-0.0029648487300909594,0.015123447807904897,-0.0015812533140513948
r0_RT_1000,0.0026225973560282537,-0.008237584176991225,0.12448373059359137,-0.0001778382500515735,-0.0006100087077161174,1.0,0.0009348973962453719,0.0017585537703738718,0.04206135928028461,0.004017129391028652,0.002657990565612706,0.00932601649201244
r1_VE_125,-0.0028826784047775392,0.0057188962453314455,-0.000223123068954561,-0.00277881702424295,-0.000962775521979782,0.0009348973962453719,1.0,0.001626369576155634,-0.0029070419717396843,0.10783934610104717,0.00013943475777228112,0.0016450555261290638
r1_VE_250,-0.0022117683806797965,0.24419454786749833,0.04329789578054996,-2.4429271901789134e-06,0.050423940222997496,0.0017585537703738718,0.001626369576155634,1.0,0.017893336648122496,-0.0010021435658811124,0.13894350949234405,-0.011445241933408555
r1_VE_1000,-0.0005284768567240725,0.02258021527498153,0.23317652349567938,-0.001686367552537654,0.0026329401651692826,0.04206135928028461,-0.0029070419717396843,0.017893336648122496,1.0,0.0030437139142709116,0.001689372427391585,0.12755792768821245
r1_RT_125,0.0010534300738245944,0.0030165257998097197,0.004281012221341855,0.0023705865805876613,-0.0029648487300909594,0.004017129391028652,0.10783934610104717,-0.0010021435658811124,0.0030437139142709116,1.0,-0.003742883870567878,-0.0011473463990720144
r1_RT_250,-0.004309233801854291,0.05726316837104796,0.007830889008798353,0.0038306858151564635,0.015123447807904897,0.002657990565612706,0.00013943475777228112,0.13894350949234405,0.001689372427391585,-0.003742883870567878,1.0,-0.008791257203586627
r1_RT_1000,0.0009976269320119229,-0.0015864973256644842,0.038701173991974494,-0.0016362084601477297,-0.0015812533140513948,0.00932601649201244,0.0016450555261290638,-0.011445241933408555,0.12755792768821245,-0.0011473463990720144,-0.008791257203586627,1.0
