,r0_VE_125,r0_VE_250,r0_VE_1000,r0_RT_125,r0_RT_250,r0_RT_1000,r1_VE_125,r1_VE_250,r1_VE_1000,r1_RT_125,r1_RT_250,r1_RT_1000
r0_VE_125,1.0,-0.004970733120487953,0.004829284889050035,0.10771117851946616,-0.0025611214402870724,0.013536688617297303,0.0028395033405674962,-0.0028587400941943665,0.002861864845034806,-0.008332714140742327,-0.0052456525777544345,-0.001527837420033427
r0_VE_250,-0.004970733120487953,1.0,0.02052443550094091,-0.003693488196941425,0.14423040302459514,-0.01627285728026134,0.00288564864525293,0.2473853089666361,0.02799203484372338,0.0005052345960009495,0.05251203976961755,-0.009809159649731504
r0_VE_1000,0.004829284889050035,0.02052443550094091,1.0,-0.0001597946885152253,0.007248123244145826,0.12362514355330691,0.004535239327196058,0.04410477300865324,0.2314607872480324,-0.006263557438530437,0.0066397425510327955,0.04005645604623872
r0_RT_125,0.10771117851946616,-0.003693488196941425,-0.0001597946885152253,1.0,0.0018310922404148082,0.0007472962282661742,0.0075930181985661835,-0.0033415395446291236,-0.01192355305277123,-0.0021708354639858192,-0.00646440378031083,-0.0033693988685760262
r0_RT_250,-0.0025611214402870724,0.14423040302459514,0.007248123244145826,0.0018310922404148082,1.0,-0.0041946382850108046,-0.0020629662230309464,0.04981709155711855,0.005954774981013197,0.00589376859074249,0.016469166692165443,-0.010295244874138186
r0_RT_1000,0.013536688617297303,-0.01627285728026134,0.12362514355330691,0.0007472962282661742,-0.0041946382850108046,1.0,0.0015320232000374686,-0.0031497773071865777,0.034910628438486246,-0.007241471794628646,-0.0059500184483662075,0.003690320506143282
r1_VE_125,0.0028395033405674962,0.00288564864525293,0.004535239327196058,0.0075930181985661835,-0.0020629662230309464,0.0015320232000374686,1.0,-0.0009817094677357656,0.0013964972907413642,0.10621937976605206,-0.0008214955600133935,-0.00549979855112322
r1_VE_250,-0.0028587400941943665,0.2473853089666361,0.04410477300865324,-0.0033415395446291236,0.04981709155711855,-0.0031497773071865777,-0.0009817094677357656,1.0,0.022519844669982667,-0.0027498847313899206,0.12945378605434518,-0.013176646716120318
r1_VE_1000,0.002861864845034806,0.02799203484372338,0.2314607872480324,-0.01192355305277123,0.005954774981013197,0.034910628438486246,0.0013964972907413642,0.022519844669982667,1.0,-0.008164540489633212,0.010372887709257749,0.1287251545374221
r1_RT_125,-0.008332714140742327,0.0005052345960009495,-0.006263557438530437,-0.0021708354639858192,0.00589376859074249,-0.007241471794628646,0.10621937976605206,-0.0027498847313899206,-0.008164540489633212,1.0,-0.007835085051368611,-0.0017775336135336859
r1_RT_250,-0.0052456525777544345,0.05251203976961755,0.0066397425510327955,-0.00646440378031083,0.016469166692165443,-0.0059500184483662075,-0.0008214955600133935,0.12945378605434518,0.010372887709257749,-0.007835085051368611,1.0,-0.0034979247816970863
r1_RT_1000,-0.001527837420033427,-0.009809159649731504,0.04005645604623872,-0.0033693988685760262,-0.010295244874138186,0.003690320506143282,-0.00549979855112322,-0.013176646716120318,0.1287251545374221,-0.0017775336135336859,-0.0034979247816970863,1.0
