,s0_y_125,s0_y_250,s0_y_1000,s0_RT_125,s0_RT_250,s0_RT_1000,s1_y_125,s1_y_250,s1_y_1000,s1_RT_125,s1_RT_250,s1_RT_1000
s0_y_125,1.0,0.97431216729395,0.9656522784193864,0.6339064142598513,0.7308213311012339,0.6612634969147423,0.9794128342370344,0.9746032336084707,0.9647794515269299,0.6433689758578913,0.7370839209896582,0.6943531265745336
s0_y_250,0.97431216729395,1.0,0.9806201881230738,0.6218528992344583,0.7365364312475801,0.6735792325608323,0.9730089021588869,0.9842612030844794,0.9807055940542988,0.6582448796545134,0.7429677692699463,0.7122549538479734
s0_y_1000,0.9656522784193864,0.9806201881230738,1.0,0.6173258334036023,0.7235271301943575,0.6831895724427082,0.9675137069288102,0.9802726261717805,0.9859205590053317,0.6473373430061624,0.7433424294522561,0.7173399496394761
s0_RT_125,0.6339064142598513,0.6218528992344583,0.6173258334036023,1.0,0.5693090850532612,0.47949661074234334,0.6263046302401116,0.6295250690815251,0.6179512593511618,0.4847410856357164,0.5733606533379856,0.47247904140582103
s0_RT_250,0.7308213311012339,0.7365364312475801,0.7235271301943575,0.5693090850532612,1.0,0.5312635380079989,0.7315256364157282,0.7336894463761119,0.7223285665797607,0.5596234356562585,0.6070165976424444,0.5139301102607481
s0_RT_1000,0.6612634969147423,0.6735792325608323,0.6831895724427082,0.47949661074234334,0.5312635380079989,1.0,0.6688919024128114,0.67764689295156,0.686200941502211,0.5028277061516316,0.5517100584224599,0.5092661320069336
s1_y_125,0.9794128342370344,0.9730089021588869,0.9675137069288102,0.6263046302401116,0.7315256364157282,0.6688919024128114,1.0,0.9732184345411177,0.9676520458432446,0.6517447964163707,0.7397686239149412,0.6979827997907081
s1_y_250,0.9746032336084707,0.9842612030844794,0.9802726261717805,0.6295250690815251,0.7336894463761119,0.67764689295156,0.9732184345411177,1.0,0.9810346905051948,0.6553057701010405,0.7495652583518464,0.7060643646551472
s1_y_1000,0.9647794515269299,0.9807055940542988,0.9859205590053317,0.6179512593511618,0.7223285665797607,0.686200941502211,0.9676520458432446,0.9810346905051948,1.0,0.6427036345965365,0.7418271753328934,0.7173121011886694
s1_RT_125,0.6433689758578913,0.6582448796545134,0.6473373430061624,0.4847410856357164,0.5596234356562585,0.5028277061516316,0.6517447964163707,0.6553057701010405,0.6427036345965365,1.0,0.5880655018434164,0.5104434748350485
s1_RT_250,0.7370839209896582,0.7429677692699463,0.7433424294522561,0.5733606533379856,0.6070165976424444,0.5517100584224599,0.7397686239149412,0.7495652583518464,0.7418271753328934,0.5880655018434164,1.0,0.5497462564872786
s1_RT_1000,0.6943531265745336,0.7122549538479734,0.7173399496394761,0.47247904140582103,0.5139301102607481,0.5092661320069336,0.6979827997907081,0.7060643646551472,0.7173121011886694,0.5104434748350485,0.5497462564872786,1.0
